NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1770586943,NEW WEST ORTHOPAEDIC & SPORTS REHABILITATION LLC,"2810 W 35TH ST, STE 2, KEARNEY, NE 68845",3082372766,Specialist,Specialist,Other Service Providers,40.709950745591,-99.119010793708
1316940539,GRAND ISLAND SURGICAL CENTER LLC,"3610 RICHMOND CIR, GRAND ISLAND, NE 68803",3083846400,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,40.922906256056,-98.385355946225
1790788677,"PHYSICIANS EYEWEAR, L.L.C.","711 N CUSTER AVE, STE 2, GRAND ISLAND, NE 68803",3083827223,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,40.92662692394,-98.368446011451
1124021043,CLAY COUNTY HEALTH DEPARTMENT,"202 W FAIRFIELD ST, CLAY CENTER, NE 68933",4027623571,Home Health Agency,Home Health,Agencies,40.521862043523,-98.055963808855
1417950239,NEBRASKA HEALTH IMAGING LLC,"7819 DODGE ST, OMAHA, NE 68114",4023848882,Diagnostic Radiology Physician,Radiology,Allopathic & Osteopathic Physicians,41.259654793611,-96.037629313553
1447253190,"HEALTHCARE MANAGEMENT SOLUTIONS, INC","2221 MAIN ST, BELLEVUE, NE 68005",4022930296,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.136397116289,-95.890843899192
1184627911,"GO PHYSICAL THERAPY, LLC","620 N DIERS AVE, SUITE 300, GRAND ISLAND, NE 68803",3083820344,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",40.923196698105,-98.384644736727
1235132184,"HOLDREGE MEMORIAL HOMES, INC.","1320 11TH AVE, HOLDREGE, NE 68949",3089958631,Assisted Living Facility,Assisted Living Facility,Nursing & Custodial Care Facilities,40.445291548472,-99.362468624701
1750384384,"CAREAGE MANAGEMENT, LLC","1800 IRVING ST, BEATRICE, NE 68310",4022232311,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,40.280045248798,-96.730544271551
1992708572,"MES TEAM, INC.","3802 AVENUE B, SCOTTSBLUFF, NE 69361",3086351017,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.882218866824,-103.665867050851
