NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1366445330,"BIOSCRIP PHARMACY, INC.","1325 14TH ST NW, WASHINGTON, DC 20005",2023328811,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,38.907925990424,-77.03187807618
1902809585,HOWARD UNIVERSITY COLLEGE OF DENTISTRY,"600 W ST. NW SUITE 326, WASHINGTON, DC 20059",2028060066,Dental Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,38.919029158412,-77.020864152069
1528061827,NATIONAL REHABILITATION HOSPITAL INC,"102 IRVING ST NW, NEURO CENTER, WASHINGTON, DC 20010",2028771760,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",38.931124119155,-77.012291773469
1316949654,MGMC LLC,"3800 RESERVOIR RD NW, WASHINGTON, DC 20007",8888961400,Psychiatry Physician,Psychiatry & Neurology,Allopathic & Osteopathic Physicians,38.912544697661,-77.074941256453
1891797148,"MGMC, LLC","3800 RESERVOIR RD NW, WASHINGTON, DC 20007",8888961400,General Practice Physician,General Practice,Allopathic & Osteopathic Physicians,38.912544697661,-77.074941256453
1285636522,"MEDSTAR GEORGETOWN MEDICAL CENTER, INC","3800 RESERVOIR RD NW, WASHINGTON, DC 20007",8888961400,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,38.912544697661,-77.074941256453
1386649028,GRUBBS PHARMACY OF DC INC,"326 E CAPITOL ST NE, WASHINGTON, DC 20003",2025434400,Compounding Pharmacy,Pharmacy,Suppliers,38.88986851053,-77.001617654133
1386642064,"RICHARD SCHAENGOLD, MD, PC","6685 BARNABY ST NW, WASHINGTON, DC 20015",2023625513,Psychiatric/Mental Health Clinical Nurse Specialist,Clinical Nurse Specialist,Physician Assistants & Advanced Practice Nursing Providers,38.977454595346,-77.059877738337
1124027404,THE WASHINGTON HOME,"3720 UPTON ST NW, WASHINGTON, DC 20016",3015606075,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,38.942160911315,-77.074533524999
1316946668,THE ARMY DISTAFF FOUNDATION INC,"6200 OREGON AVE NW, WASHINGTON, DC 20015",2025410307,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,38.971091050288,-77.0535528627
