NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1154324101,"GATEWAY HEALTHCARE, INC","249 ROOSEVELT AVE, UNIT 205, PAWTUCKET, RI 02860",4017248400,Case Management Agency,Case Management,Agencies,41.881839132676,-71.382301875465
1649273830,HEBERT NURSING HOME INC,"180 LOG RD, SMITHFIELD, RI 02917",4012317016,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.9104251,-71.5519714
1346243490,"LIFE CARE AT HOME OF RHODE ISLAND, INC.","63 SOCKANOSSET CROSS RD, STE 1C, CRANSTON, RI 02920",5082386878,Home Health Agency,Home Health,Agencies,41.754064471135,-71.454604034014
1336142165,ARROWHEAD DENTAL ASSOCIATES,"4995 S COUNTY TRL, CHARLESTOWN, RI 02813",4013646300,General Practice Dentistry,Dentist,Dental Providers,41.386618384788,-71.641707588194
1376546267,RADIATION ONCOLOGY ASSOCIATES INC,"825 N MAIN ST, PROVIDENCE, RI 02904",4015219700,Radiation Oncology Physician,Radiology,Allopathic & Osteopathic Physicians,41.842545456819,-71.407401870696
1073516654,RADIOLOGY ASSOCIATES INC,"450 VETERANS MEMORIAL PKWY, BUILDING 2, EAST PROVIDENCE, RI 02914",4014353041,Diagnostic Ultrasound Physician,Radiology,Allopathic & Osteopathic Physicians,41.808027588584,-71.385984884079
1245233824,RADIOLOGY ASSOCIATES INC,"469 CENTERVILLE RD, SUITE 103, WARWICK, RI 02886",4017389002,Diagnostic Ultrasound Physician,Radiology,Allopathic & Osteopathic Physicians,41.697521870123,-71.478852154725
1043213754,RADIOLOGY ASSOCIATES INC,"235 PLAIN ST LOWR LEVEL, PROVIDENCE, RI 02905",4012728510,Diagnostic Ultrasound Physician,Radiology,Allopathic & Osteopathic Physicians,41.809314330494,-71.410955963153
1952304214,"P.C.S.-BRIDGEVIEW, INC.","510 E MAIN RD, UNIT 12, MIDDLETOWN, RI 02842",4018482043,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.521728728438,-71.283569329362
1356343651,NORTHEAST ORTHOTICS AND PROSTHETICS INC,"2 DUDLEY ST, STE 161, PROVIDENCE, RI 02905",4014445477,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,41.810745913892,-71.407240834819
1598767766,CLAFLIN CONTINUING CARE LLC,"1070 WILLETT AVE, RIVERSIDE, RI 02915",4014370806,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,41.759250627232,-71.343713937418
1003818063,"HOPKINS MANOR, LTD.","610 SMITHFIELD ROAD, NORTH PROVIDENCE, RI 02904",4013536300,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.86434180000001,-71.4679852
1891797858,"ROSEWOOD MANOR, LTD","140 PITMAN ST, PROVIDENCE, RI 02906",4012744200,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.826860752889,-71.387188505006
1457355976,"CARLOW ORTHOPEDIC AND PROSTHETICS, INC","1580 PONTIAC AVENUE, CRANSTON, RI 02920",4017386450,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.740614881927,-71.460931582585
1538164686,"NEXT STEP BIONICS AND PROSTHETICS, INC","300 METRO CENTER BLVD, STE 215, WARWICK, RI 02886",4017368985,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,41.725122652641,-71.46115351253
1851397137,MED-CARE AMBULANCE LLC,"66 ILLINOIS AVE, WARWICK, RI 02888",4017381224,Land Ambulance,Ambulance,Transportation Services,41.740992907969,-71.441162499163
1437155546,SOUTH COUNTY NURSING AND REHABILITATION CENTER,"740 OAK HILL RD, NORTH KINGSTOWN, RI 02852",4012944545,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,41.560674857789,-71.488276430408
1295731321,CODAC INC,"1052 PARK AVE, CODAC CRANSTON, CRANSTON, RI 02910",4014615056,Substance Use Disorder Rehabilitation Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.782307494544,-71.444920573464
1649276726,MOUNT ST. RITA HEALTH CENTRE,"15 SUMNER BROWN RD, CUMBERLAND, RI 02864",4013336352,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,42.015725322108,-71.404730416158
1205832029,ANCHOR MEDICAL ASSOCIATES,"1 COMMERCE ST STE 100, LINCOLN, RI 02865",4017938484,General Practice Physician,General Practice,Allopathic & Osteopathic Physicians,41.938506730346,-71.454384251546
1831195551,MAJORS MEDICAL SUPPLY,"197 PUTNAM PIKE, JOHNSTON, RI 02919",4012317100,Customized Equipment (DME),Durable Medical Equipment & Medical Supplies,Suppliers,41.866519088196,-71.501748943976
1912903717,"DOMINION DIAGNOSTICS, LLC","211 CIRCUIT DRIVE, NORTH KINGSTOWN, RI 02852",8777349600,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,41.588072758821,-71.432732029283
1598762106,"TOLLGATE SLEEP DISORDERS CENTER, INC.","400 BALD HILL RD, SUITE 529, WARWICK, RI 02886",4017374115,Sleep Disorder Diagnostic Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.7269072,-71.4791128
1417954967,CEDAR CREST NURSING CENTRE INC,"125 SCITUATE AVE, CRANSTON, RI 02921",4019448500,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.778778093258,-71.480384084046
1831196955,"ASSISTED DAILY LIVING, INC","2809 POST RD, WARWICK, RI 02886",4017385470,Home Health Agency,Home Health,Agencies,41.708046548359,-71.451303612945
1730186776,KENT COUNTY MEMORIAL HOSPITAL,"11 KNIGHT ST, BLDG. D15, WARWICK, RI 02886",4017320022,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.731964771404,-71.46074752891
1598762304,"NHCC MEDICAL ASSOCIATES, INC.","275 BROADWAY, UNIT 2, NEWPORT, RI 02840",4018451472,Physical Medicine & Rehabilitation Physician,Physical Medicine & Rehabilitation,Allopathic & Osteopathic Physicians,41.497515007372,-71.307586133083
1720085657,"BAYSIDE ENDOSCOPY CENTER, LLC","33 STANIFORD ST, PROVIDENCE, RI 02905",4012741810,Endoscopy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.808207133509,-71.411603826537
1649278250,ROGER WILLIAMS MEDICAL CENTER,"825 CHALKSTONE AVE, PROVIDENCE, RI 02908",4014562000,General Acute Care Hospital,General Acute Care Hospital,Hospitals,41.834046106806,-71.434322525691
1790783116,RIVERVIEW NURSING HOME. INC.,"546 MAIN ST, COVENTRY, RI 02816",4018216837,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,41.727152037902,-71.539996664276
1437157898,"SCALABRINI VILLA, INC.","860 N QUIDNESSETT RD, NORTH KINGSTOWN, RI 02852",4018841802,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.639753539067,-71.424136178682
1417955733,DISCOVERY HOUSE UTAH,"88 W WARWICK AVE, WEST WARWICK, RI 02893",4018218866,Substance Use Disorder Rehabilitation Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.696262925065,-71.523490736507
1053319368,"R.I.S.A.T., LLC","1625 DIAMOND HILL RD, WOONSOCKET, RI 02895",4017621511,Substance Use Disorder Rehabilitation Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,42.015686662895,-71.47818851846
1174521488,"R.I.S.A.T., LLC","66 PAVILION AVE, PROVIDENCE, RI 02905",4014619110,Mental Health Clinic/Center (Including Community Mental Health Center),Clinic/Center,Ambulatory Health Care Facilities,41.798179793432,-71.404047012174
1508864646,"ORCHARD VIEW MANOR , INC","135 TRIPPS LN, EAST PROVIDENCE, RI 02915",4014382250,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.790619161654,-71.354698023037
1093713174,"NEWPORT COUNTY COMMUNITY MENTAL HEALTH CENTER, INC","42 VALLEY ROAD, MIDDLETOWN, RI 02842",4018461213,Community/Behavioral Health Agency,Community/Behavioral Health,Agencies,41.521124141527,-71.294382364502
1962400929,"PERSONAL HOME HEALTH SERVICES, INC","10 NATE WHIPPLE HWY, STE 9, CUMBERLAND, RI 02864",4016581383,Home Health Agency,Home Health,Agencies,41.976516854271,-71.456854531103
1396744173,"VNA TECHNICARE, INC.","200 CORLISS ST UNIT 2, PROVIDENCE, RI 02904",4013359000,Department of Veterans Affairs (VA) Pharmacy,Department of Veterans Affairs (VA) Pharmacy,Suppliers,41.841711165646,-71.412262210291
1093714545,KENT COUNTY VISITING NURSE ASSOCIATION,"51 HEALTH LN, WARWICK, RI 02886",4017376050,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,41.705925445515,-71.479750293097
1043219553,KENT COUNTY VISITING NURSE ASSOCIATION,"51 HEALTH LN, WARWICK, RI 02886",4017376050,Home Health Agency,Home Health,Agencies,41.705925445515,-71.479750293097
1538168059,"ST JUDE HOME CARE, INC.","1006 RESERVOIR AVE, BASEMENT, CRANSTON, RI 02910",4019444489,Home Health Agency,Home Health,Agencies,41.773891091371,-71.450614654341
1245239680,"FELLOWSHIP HEALTH RESOURCES, INC","24 ALBION RD STE 210, LINCOLN, RI 02865",4016424416,Case Management Agency,Case Management,Agencies,41.948556548914,-71.465207485191
1366441719,"COMPREHENSIVE COMMUNITY ACTION, INC.","1090 CRANSTON ST, CRANSTON, RI 02920",4019431981,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,41.797024747554,-71.448618643748
1174522304,WEST BAY SURGICAL ASSOCIATES INC.,"390 TOLL GATE RD, STE.200, WARWICK, RI 02886",4017398010,Surgery Physician,Surgery,Allopathic & Osteopathic Physicians,41.703240494654,-71.475697462982
1386643294,KENT COUNTY MEMORIAL HOSPITAL,"455 TOLL GATE RD, WARWICK, RI 02886",4017377010,Cardiovascular Disease Physician,Internal Medicine,Allopathic & Osteopathic Physicians,41.704628145854,-71.478101034213
1023017944,KENT COUNTY MEMORIAL HOSPITAL,"455 TOLL GATE RD, WARWICK, RI 02886",4017377010,Rehabilitation Hospital Unit,Rehabilitation Unit,Hospital Units,41.704628145854,-71.478101034213
1679573232,INTERCITY AMBULANCE SERVICE,"457 DOUGLAS AVE, PROVIDENCE, RI 02908",4012738020,Ambulance,Ambulance,Transportation Services,41.8426127597,-71.427564672961
1538169107,NORTHEAST OXYGEN SERVICE,"457 DOUGLAS AVE, PROVIDENCE, RI 02908",4014449300,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,41.8426127597,-71.427564672961
1235139742,WEST VIEW NURSING HOME,"239 LEGRIS AVE, WEST WARWICK, RI 02893",4018289000,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.696276133507,-71.507348126058
1366442899,THE TAVARES PEDIATRIC CENTER INC,"101 PLAIN ST, PROVIDENCE, RI 02903",4012727127,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.813750779664,-71.41255285135
1730180357,"UNIVERSAL AMBULANCE SERVICE, INC.","457 DOUGLAS AVE, PROVIDENCE, RI 02908",4012738020,Ambulance,Ambulance,Transportation Services,41.8426127597,-71.427564672961
1568463115,MEDICAL ASSOCIATES OF RHODE ISLAND INC.,"1180 HOPE ST, BRISTOL, RI 02809",4012538900,Dermatology Physician,Dermatology,Allopathic & Osteopathic Physicians,41.69530700065,-71.279375761677
1699776187,ODYSSEY HEALTHCARE OPERATING B LP,"2374 POST ROAD, SUITE 206, WARWICK, RI 02886",4017381492,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,41.71801618322,-71.443732668426
1639170772,LYNN HO MD INC,"320 PHILLIPS ST, STE 102, NORTH KINGSTOWN, RI 02852",4016672537,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,41.566146778067,-71.461705021768
