NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1255338000,"GUAM SURGICENTER, LLC","633 CAROLS CAMACHO RD, STE. 101 GUAM MEDICAL PLAZA, TAMUNING, GU 96913",6716463855,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.499394598681,144.775627689041
1699768093,AC MICRO GUAM LLC,"633 GOV CARLOS G CAMACHO RD, STE 101 GUAM MEDICAL PLAZA, TAMUNING, GU 96913",6716463855,Anesthesiology Physician,Anesthesiology,Allopathic & Osteopathic Physicians,13.499394598681,144.775627689041
1154310878,MEGGS CORPORATION,"646 S MARINE DR, TAMUNING, GU 96913",6716464827,Pharmacy,Pharmacy,Suppliers,13.4805612,144.7691374
1356330724,"VIK MANAGEMENT, INC","590 S MARINE DR, SUITE 126, TAMUNING, GU 96913",6716466395,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.4866131,144.7831934
1265421630,"VIK MANAGEMENT, INC","416 CHALAN SAN ANTONIO, TAMUNING, GU 96913",6716491977,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.4960238,144.7823808
1912983065,ISLA HOME INFUSION INC.,"202 FARENHOLT AVE STE 101, TAMUNING, GU 96913",6716461266,Compounding Pharmacy,Pharmacy,Suppliers,13.4973414,144.7787152
1831161728,"GUAM DIALYSIS CENTER, INC.","265 CHALAN SANTO PAPA, HAGATNA, GU 96910",6714753600,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.4747995,144.7554013
1053383059,"GUAM DIALYSIS CENTER, INC.","633 GOVERNOR CARLOS B. CAMACHO RD, 106, TAMUNING, GU 96913",6716463517,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.499394598681,144.775627689041
1629041546,GOVERNMENT OF GUAM DEPARTMENT OF ADMINISTRATION,"162 ABMAN DRIVE, INARAJAN, GU 96915",6718287501,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,13.282962454558,144.754096279952
1972577104,GOVERNMENT OF GUAM DEPARTMENT OF ADMINISTRATION,"520 W SANTA MONICA AVE, DEDEDO, GU 96929",6716357492,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,13.52342,144.8346212
1942277967,GURUSAMY INC.,"655 HARMON LOOP RD STE 102, DEDEDO, GU 96929",6716475355,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,13.5102269,144.8212849
1457329849,"AMERICAN MEDICAL CENTER, LLC","1244 NORTH MARINE CORPS DRIVE, UPPER TUMON, GU 96913",6716478262,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.518253548915,144.812233537712
1972565240,TAKECARE INSURANCE COMPANY INC.,"548 S MARINE CORPS. DR, TAMUNING, GU 96913",6716466956,Multi-Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.487543,144.7849814
1639127509,NH GUAM,"BLDG 50 FARENHOLT AVENUE, AGANA HEIGHTS, GU 96919",6713449242,Military General Acute Care Hospital,Military Hospital,Hospitals,13.472394314121,144.745747232624
1619928264,GOVERNMENT OF GUAM DEPARTMENT OF ADMINISTRATION,"790 GOVERNOR CARLOS G. CAMACHO ROAD, TAMUNING, GU 96913",6716471901,Case Management Agency,Case Management,Agencies,13.503105962434,144.775104044587
1275586877,GENERAL CONFERENCE CORP OF SDA,"388 YPAO RD, TAMUNING, GU 96913",6716468881,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.4999553,144.7908925
1700826401,HONOLULU VAMC,"498 CHALAN PALOSYO, AGANA HEIGHTS, GU 96910",7023413020,VA Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.4725793,144.740786
1619919040,PAYLESS MARKETS INC,"302 S ROUTE 4, STE 118, AGANA SHOPPING CTR, CHALAN PAGO, GU 96910",6714773627,Pharmacy,Pharmacy,Suppliers,13.447225210705,144.762202488827
1184660045,HEALTH SERVICES & MANAGEMENT INC.,"177C CHALAN PASAHERU, TAMUNING, GU 96913",6716476201,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.4936894,144.7963779
1023038635,MR IMAGING GROUP LIMITED PARTNERSHIP,"384 DUENAS DRIVE, TAMUNING, GU 96913",6716492777,Magnetic Resonance Imaging (MRI) Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.5042187,144.7759928
1073535944,"MICRONESIA MEDICAL & ANESTHESIA ASSOCIATES, PLLC","590 S MARINE DR, SUITE 126, TAMUNING, GU 96913",6716468844,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,13.4866131,144.7831934
1750397014,"RETINA CENTER OF GUAM, LLC","RETINA CENTER OF GUAM, LLC, 633 GOVERNOR CARLOS CAMACHO RD, SUITE 205, TAMUNING, GU 96913",8085337400,Ophthalmology Physician,Ophthalmology,Allopathic & Osteopathic Physicians,13.4984028,144.7750318
1427069921,TAKECARE INS CO INC,"548 S MARINE CORPS DR, TAMUNING, GU 96913",6716465825,Clinic Pharmacy,Pharmacy,Suppliers,13.487543,144.7849814
1427069533,"TAKECARE INSURANCE COMPANY, INC.","548 S MARINE CORPS DR, TAMUNING, GU 96913",6716465825,Multi-Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,13.487543,144.7849814
1235141060,HAFA SPECIALIST GROUP LLP,"280 PALE SAN VITORES RD, TAMUNING, GU 96913",6716474542,Specialist,Specialist,Other Service Providers,13.502231517441,144.785432588239
1285746107,PAYLESS MARKETS INC,"275 FARENHOLT AVE STE 208, TAMUNING, GU 96913",6716466183,Pharmacy,Pharmacy,Suppliers,13.497550821943,144.779022527206
1467564385,PAYLESS MARKETS INC,"214 W MARINE CORPS DR, RTE 1, DEDEDO, GU 96929",6716379783,Pharmacy,Pharmacy,Suppliers,13.5139205,144.8371143
1497859565,TAKECARE INSURANCE COMPANY INC,"219 S MARINE CORPS DR STE 200, TAMUNING, GU 96913",6716465825,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,13.491035555823,144.790704240257
