NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1548263387,"ALASKA INFUSION THERAPY, INC.","9109 MENDENHALL MALL RD, STE 7A, JUNEAU, AK 99801",9077897570,Pharmacy,Pharmacy,Suppliers,58.37212682291,-134.587157839777
1669475166,"ANCHORAGE NEIGHBORHOOD HEALTH CENTER, INC.","4951 BUSINESS PARK BLVD, ANCHORAGE, AK 99503",9077437200,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,61.175970880026,-149.889861455603
1720081326,CORDOVA DRUG CO,"516 1ST STREET, CORDOVA, AK 99574",9074243246,Pharmacy,Pharmacy,Suppliers,60.5451415,-145.7581971
1679576367,1ST CHOICE HOME HEALTH CARE INC,"159 E REDOUBT AVE, SOLDOTNA, AK 99669",9072605959,Home Health Agency,Home Health,Agencies,60.48769920756,-151.0666981532
1801899257,ARCTIC SLOPE NATIVE ASSOCIATION,"1296 AGVIK STREET, BARROW, AK 99723",9078529277,Pharmacy,Pharmacy,Suppliers,71.292218518847,-156.781209866508
1952304271,"TOK COMMUNITY CLINIC, INCORPORATED","MILE 124 TOK CUTOFF, TOK, AK 99780",9078835873,Ambulance,Ambulance,Transportation Services,63.3295289,-142.9902422
1497759476,"WARBELOW'S AIR VENTURES, INC.","3758 UNIVERSITY AVE S, FAIRBANKS, AK 99709",9073746213,Air Ambulance,Ambulance,Transportation Services,64.812543849345,-147.844307464904
1528062429,CENTRAL PENINSULA GENERAL HOSPITAL INC.,"250 HOSPITAL PL, SOLDOTNA, AK 99669",9077144404,Medicare Defined Swing Bed Hospital Unit,Medicare Defined Swing Bed Unit,Hospital Units,60.494559048287,-151.077852555636
1891790184,INDEPENDENCE HEALTHCARE PC,"289 N FIREWEED ST STE D, SOLDOTNA, AK 99669",9072626454,Medical Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,60.49459473819,-151.0798477585
1831194562,REHABILITATION MEDICINE ASSOCIATES,"3801 UNIVERSITY LAKE DR, ANCHORAGE, AK 99508",9077626337,Rehabilitation Practitioner,Rehabilitation Practitioner,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",61.188130400671,-149.803908005829
1821093550,"VALLEY DERMATOLOGY CENTER, INC.","851 WESTPOINT DR, STE B10, WASILLA, AK 99654",9073572800,Dermatology Physician,Dermatology,Allopathic & Osteopathic Physicians,61.582313302865,-149.428375358553
