NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1972506939,DAKOTA SURGICAL LTD,"911 E 20TH ST, STE 300, SIOUX FALLS, SD 57105",6053342266,Medical Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.534771163047,-96.714342846387
1770586604,WILMOT CARE CENTER,"501 4TH ST, WILMOT, SD 57279",6059384418,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,45.411800026353,-96.860641815781
1215930847,"COMPASSIONATE CARE HOSPICE OF THE MIDWEST, LLC","3415 N POTSDAM AVE, SIOUX FALLS, SD 57104",6053382066,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,43.582266256715,-96.695212097744
1154324507,AVERA QUEEN OF PEACE,"525 N FOSTER ST, MITCHELL, SD 57301",6059952000,Emergency Medicine Physician,Emergency Medicine,Allopathic & Osteopathic Physicians,43.71397589582,-98.0074166496
1225030448,TEL-DRUG INC,"4901 N 4TH AVE, SIOUX FALLS, SD 57104",6053734854,Pharmacy,Pharmacy,Suppliers,43.600502829446,-96.724811932402
1598769531,"LIEBE DRUG, INC.","109 S MAIN ST, MILBANK, SD 57252",6054325541,Pharmacy,Pharmacy,Suppliers,45.221499968859,-96.635783321278
1235133109,PLATTE COMMUNITY MEMORIAL HOSPITAL INC,"601 E 7TH ST, PLATTE, SD 57369",6053373364,Critical Access Hospital,General Acute Care Hospital,Hospitals,43.384228135329,-98.836601264856
1629072400,PLATTE COMMUNITY MEMORIAL HOSPITAL INC.,"601 E 7TH ST, STE 3, PLATTE, SD 57369",6053373364,Rural Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.384228135329,-98.836601264856
1558365064,"RECOVER HEALTH OF IOWA, INC.","101 S REID ST STE 201A, SIOUX FALLS, SD 57103",6053353373,Home Health Agency,Home Health,Agencies,43.54687403506,-96.722513985404
1699779041,ADVANCED PHYSICAL THERAPY INC.,"1005 N MAIN ST, MITCHELL, SD 57301",6059964552,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",43.718826981148,-98.025746796263
