NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1215122817,UNITED STATES NAVY,"COMMANDING OFFICER, 2ND BATTALION 2ND MARINES, FPO, AA 28542",9104514042,Independent Duty Corpsman,Military Health Care Provider,Other Service Providers,34.68062159999999,-77.35022819999999
1891982518,JTF-B MED EL-HONDURAS,"UNIT 5700, APO, AA 34042",0115042348641,Military/U.S. Coast Guard Outpatient Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1093953002,"SOUTH EASTERN EYE CENTER, OFFICE OF DR NACONDUS GAMBLE","345 LINDQUIST, BLDG. 71, APO, AA 31314",9128761101,Optometrist,Optometrist,Eye and Vision Services Providers,31.8659223,-81.6083988
1366708612,UNITED STATES NAVY,"34800 BOB WILSON DRIVE, APO, AA 92134",6195561300,Military Hospital,Military Hospital,Hospitals,32.724603787307,-117.144634913772
1497152045,NAVAL HOSPITAL LEMOORE,"937 FRANKLIN AVENUE, FPO, AA 93246",5599984262,Military Hospital,Military Hospital,Hospitals,36.2641522,-119.8934519
1124476833,MADIGAN ARMY MEDICAL CENTER,"9040 JACKSON AVENUE, APO, AA 98431",2539680758,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,47.1094671,-122.552422
1639528441,DFAS-JFLL/IN,"238 BROOKLEY AVENUE, BUILDING 1300, APO, AA 20032",8889991212,Dental Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,38.8368669,-77.0138048
1437502325,DEPARTMENT OF DEFENSE,"11050 MOUNT BELVEDERE BLVD, APO, AA 13602",3157722778,Military/U.S. Coast Guard Outpatient Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,44.0599954,-75.81245299999999
1689121006,CARL DARNALL ARMY MEDICAL CENTER,"CARL DARNALL ARMY MEDICAL CENTER, 36065 SANTE FE AVE, APO, AA 76544",2545535319,Military Hospital,Military Hospital,Hospitals,31.1272485,-97.77656040000001
1053258681,DRUG ENFORCEMENT ADMINISTRATON,"2295 EAST IRLO BROSON HWY, 180, APO, AA 34747",3056090024,Counseling Psychologist,Psychologist,Behavioral Health & Social Service Providers,,
