NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1164425351,ALL-MED HEALTHCARE INC,"101 N PLAINS INDUSTRIAL RD, BLDG 1A, WALLINGFORD, CT 06492",2032843443,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.479458086631,-72.819734127064
1750384939,"VNA HEALTH AT HOME, INC","27 SIEMON COMPANY DR, STE 101, WATERTOWN, CT 06795",8602747531,Home Health Agency,Home Health,Agencies,41.6035943,-73.1117926
1205839065,"HEALTH CARE ALLIANCE, INC D/B/A/ BLAIR MANOR","612 HAZARD AVE, ENFIELD, CT 06082",8607498388,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.985177631551,-72.507326965003
1962405720,HEALTH CARE VENTURES INC DBA CRESCENT MANOR,"1243 W MAIN ST, WATERBURY, CT 06708",2037570561,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.552634668643,-73.063619470106
1174526099,"HEALTH CARE INVESTORS, INC. D/B/A/ ALEXANDRIA MANOR","55 TUNXIS AVE, BLOOMFIELD, CT 06002",8602420703,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.836453187756,-72.739020774204
1437152287,WINDHAM NURSING & REHABILITATION LLC,"103 NORTH RD, WINDHAM, CT 06280",8604234636,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.704889738818,-72.163186405266
1447253281,HEALTH CARE RELIANCE LLC D/B/A ELLIS MANOR,"210 GEORGE ST, HARTFORD, CT 06114",8602969166,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.731772348621,-72.678421857892
1124021928,TOWN OF BERLIN OFFICE OF THE TREASU RER,"240 KENSINGTON RD, STE 12, BERLIN, CT 06037",8608287030,Home Health Agency,Home Health,Agencies,41.627288549444,-72.770681732263
1881697332,R..A. CALDWELL CO. INC,"474 W MAIN ST, STAMFORD, CT 06902",2033480174,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.04830259567,-73.557626126769
1356344956,TOWN OF ORANGE,"605 A ORANGE CENTER ROAD, ORANGE, CT 06477",2038914752,Home Health Agency,Home Health,Agencies,41.27793616709,-73.025447557681
1023011681,"SUBURBAN PHYSICAL THERAPY & SPORTS MEDICINE CENTER, LLC","506 CROMWELL AVE, STE 103, ROCKY HILL, CT 06067",8607219801,Geriatric Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",41.658167258493,-72.678376876968
1093718611,ESSEX AMBULANCE ASSOCIATION INCORPORATED,"149 DENNISON ROAD, CENTERBROOK, CT 06409",8607671730,Land Ambulance,Ambulance,Transportation Services,41.3523445,-72.4108205
1265435994,VISITING NURSE AND HOSPICE CARE OF SOUTHWESTERN CT INC,"1266 E MAIN ST, STAMFORD, CT 06902",2032763000,Home Health Aide,Home Health Aide,Nursing Service Related Providers,41.060173566505,-73.50920210254
1558364091,"PERIODONTAL ASSOCIATES, LLC","61 4TH ST, STAMFORD, CT 06905",2033235900,Periodontics,Dentist,Dental Providers,41.065334889941,-73.542836467083
1568465938,HEALTH COMPLEX MEDICAL LLC,"84 PROGRESS LN, WATERBURY, CT 06705",2037537778,Pharmacy,Pharmacy,Suppliers,41.533609377188,-72.97396170977
1649273996,"NEW ENGLAND ORTHOTIC & PROSTHETIC SYSTEMS, LLC","469 WEST MAIN STREET, SUTIE 101, BRANFORD, CT 06405",2034888588,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.279750849167,-72.847095383105
1497758874,"RVNAHEALTH, INC.","27 GOVERNOR ST, RIDGEFIELD, CT 06877",2034385555,Home Health Agency,Home Health,Agencies,41.280560460764,-73.497160750203
1497758817,"PHILIP E. PILON, DMD, LAWRENCE S. CHRISTIAN, DMD, PC","625 HOPMEADOW ST, SIMSBURY, CT 06070",8606581991,General Practice Dentistry,Dentist,Dental Providers,41.866836531047,-72.806796969764
1366445629,"CSC ENTERPRISES, INC.","189 ALPS RD, BRANFORD, CT 06405",2034816221,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.265139587482,-72.845780711907
1669474961,"GROVE MANOR NURSING HOME, INC.","145 GROVE ST, WATERBURY, CT 06710",2037537205,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.559873342185,-73.041199641021
1255333597,NEW ENGLAND HOME CARE INC.,"1111 CROMWELL AVE BLDG 6, ROCKY HILL, CT 06067",8606324000,Homemaker,Homemaker,Nursing Service Related Providers,41.642226153055,-72.677182365123
1285636548,"SCOVILLE PROSTHETICS,INC.","197 NEW BRITAIN AVE, HARTFORD, CT 06106",8602473209,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,41.744252136903,-72.688682500456
1114929379,"SCOVILL MEDICAL GROUP, PC","56 FRANKLIN ST, WATERBURY, CT 06706",2037098888,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,41.5529532,-73.0367107
1235131442,"VASSAR HEALTH CONNECTICUT, INC.","50 HOSPITAL HILL RD, SHARON, CT 06069",8603644084,General Acute Care Hospital,General Acute Care Hospital,Hospitals,41.880231111404,-73.482586550874
1962404178,E.H. KAUFMAN ENTERPRIZES,"627 CHAPEL ST, NEW HAVEN, CT 06511",2037772396,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",41.303926737629,-72.919498014788
1780686964,"FRANKLIN MEDICAL GROUP, PC","56 FRANKLIN ST, WATERBURY, CT 06706",2037096000,Dentist,Dentist,Dental Providers,41.5529532,-73.0367107
1942204797,"DR. MCHUGH AND ASSOCIATES, P.C.","777 ECHO LAKE RD UNIT F, WATERTOWN, CT 06795",8602741773,Podiatrist,Podiatrist,Podiatric Medicine & Surgery Service Providers,41.608910168404,-73.090377165759
1932103694,"SAYBROOK HEALTH CARE CENTER, INC.","1775 BOSTON POST RD, OLD SAYBROOK, CT 06475",8603996216,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.2849764,-72.42168939999999
1366446981,"BRIDGEPORT HEALTH CARE CENTER, INC.","600 BOND ST, BRIDGEPORT, CT 06610",2033846400,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.200730788541,-73.166938013899
1598769234,"DR. MCHUGH AND ASSOCIATES, P.C.","777 ECHO LAKE RD UNIT F, WATERTOWN, CT 06795",8602741773,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.608910168404,-73.090377165759
1508860008,JEROME HOME,"975 CORBIN AVE, NEW BRITAIN, CT 06052",8602293707,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,41.662122561679,-72.804044751808
1821092321,"VILLA MARIA NURSING AND REHABILITATION COMMUNITY, INC.","20 BABCOCK AVE, PLAINFIELD, CT 06374",8605643387,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.67895708082,-71.917854954369
1093719593,EASTSIDE ORTHOTICS & PROSTHETICS INC,"26 PALMERS HILL RD, RM 1000, STAMFORD, CT 06902",2039759004,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.059380448263,-73.566117314883
1295739704,NEXT STEP TECHNOLOGIES,"22 NEWTOWN RD, DANBURY, CT 06810",2037905347,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.400803395493,-73.426430200441
1427052844,MACKENZIES PHARMACY INC,"930 WHITE PLAINS RD, TRUMBULL, CT 06611",2032612541,Pharmacy,Pharmacy,Suppliers,41.24491887953,-73.196606474833
1992709307,"CONNECTICUT SUPPORT SERVICES, LLC","444 EAST ST, PLAINVILLE, CT 06062",8607936843,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,41.652924177757,-72.86941661246
1720083934,WATERFORD DENTAL ASSOCIATES PC,"815 HARTFORD TPKE, WATERFORD, CT 06385",8604440625,Dental Hygienist,Dental Hygienist,Dental Providers,41.372717276724,-72.137665986096
1861497018,"VALLEY MEDICAL SUPPLY, INC.","49 PERSHING DR, DERBY, CT 06418",2037324269,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.3317551,-73.0849443
1194720391,"DOCTORS OF AVON MEDICAL GROUP, PC","30 W AVON RD, LOWR LEVEL, AVON, CT 06001",8606732581,Cardiovascular Disease Physician,Internal Medicine,Allopathic & Osteopathic Physicians,41.814616504385,-72.866863977288
1558366757,"UNITED COMMUNITY AND FAMILY SERVICES, INC.","47 TOWN STREET, NORWICH, CT 06360",8608927042,Addiction (Substance Use Disorder) Counselor,Counselor,Behavioral Health & Social Service Providers,41.547236848907,-72.092502435076
1497750798,SHORELINE MEDICAL ASSOCIATES LLC,"1353 BOSTON POST RD, MADISON, CT 06443",2032454933,Family Nurse Practitioner,Nurse Practitioner,Physician Assistants & Advanced Practice Nursing Providers,41.274668343955,-72.550088356353
1316942428,"CENTER FOR CONTINUING CARE OF GREATER STAMFORD, INC","146 W BROAD ST, STAMFORD, CT 06902",2032768500,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.055945138958,-73.550649054796
1013912260,"ALPHA MEDICAL, INC.","635 TALCOTTVILLE RD, VERNON, CT 06066",8608752374,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.856636227648,-72.484625153408
1417952631,"301 ROPE FERRY ROAD, LLC","301 ROPE FERRY RD, WATERFORD, CT 06385",8604441175,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,41.327528743466,-72.16521053408
1447255468,WHITNEY MANOR OPERATING COMPANY LLC,"2798 WHITNEY AVENUE, HAMDEN, CT 06518",2032886230,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.397654992243,-72.897295057036
1780689836,MASONIC HEALTHCARE CENTER,"22 MASONIC AVE, WALLINGFORD, CT 06492",2036796928,Long Term Care Pharmacy,Pharmacy,Suppliers,41.46473930000001,-72.8355395
1063417095,"CARDIAC SPECIALISTS, P.C.","1305 POST RD, FAIRFIELD, CT 06824",2032922000,Specialist,Specialist,Other Service Providers,41.142990315857,-73.254750386496
1720083769,UNIVERSITY OF CONNECTICUT HEALTH CENTER,"263 FARMINGTON AVE, FARMINGTON, CT 06030",8606797503,Oral and Maxillofacial Pathology Dentistry,Dentist,Dental Providers,41.7345785,-72.7952579
1982609673,"CHESTELM HEALTH CARE, INC","534 TOWN ST, MOODUS, CT 06469",8608731455,Speech-Language Pathologist,Speech-Language Pathologist,"Speech, Language and Hearing Service Providers",41.485378719263,-72.446664046823
1285639914,"PROFESSIONAL HOME CARE SERVICES,INC","106 SEBETHE DR, CROMWELL, CT 06416",8002533738,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.611432287651,-72.707606385184
1336144120,"NYCONN ORTHOPAEDIC & REHABALITATION SPECIALISTS, PLLC","31 STRAWBERRY HILL AVE, STAMFORD, CT 06902",2033258888,Specialist,Specialist,Other Service Providers,41.060855059252,-73.533266122786
1629073242,"VNA SERVICES, INC.","1100 SHERMAN AVE, HAMDEN, CT 06514",2032881623,Home Health Agency,Home Health,Agencies,41.39694214121,-72.919856239559
1649275108,ABILITY PROSTHETICS & ORTHOTICS LLC,"52 NATIONAL DR, STE 2, GLASTONBURY, CT 06033",8605718979,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,41.718021282832,-72.58709924634
1396741872,TOWN OF GREENWICH,"70 PARSONAGE ROAD, GREENWICH, CT 06830",2036184200,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.059430041914,-73.624471540177
1932105293,BETHLEHEM AMBULANCE ASSOCIATION INC,"MAIN ST SOUTH, BETHLEHEM, CT 06751",2032666666,Land Ambulance,Ambulance,Transportation Services,41.6219515,-73.2001961
1427054535,"VALLEY REHABILITATION CENTER, INC.","110 HOPMEADOW ST, STE 300, SIMSBURY, CT 06089",8606513381,Specialist,Specialist,Other Service Providers,41.831298931789,-72.820485615528
1669478715,"CENTER FOR HOSPICE CARE SOUTHEAST CONNECTICUT, INC.","227 DUNHAM ST, NORWICH, CT 06360",8608485699,Home Health Agency,Home Health,Agencies,41.515696781679,-72.09590563175
1881690717,"ALLERGY & ASTHMA ASSOC., P.C.","107 NEWTOWN RD, DANBURY, CT 06810",2037487433,Specialist,Specialist,Other Service Providers,41.411955784295,-73.411431920826
1528064490,HAMDEN HEALTH CARE LIMITED PARTNERSHIP,"1270 SHERMAN LANE, HAMDEN, CT 06514",2032817555,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.391964328773,-72.920530910733
1588660245,"RX CARE PHARMACIES, INC","91 WILLENBROCK RD STE B1, OXFORD, CT 06478",2032626860,Community/Retail Pharmacy,Pharmacy,Suppliers,41.463916795847,-73.151783971094
1114923893,"ORTHOPAEDIC SPECIALTY GROUP, P.C.","305 BLACK ROCK TPKE, FAIRFIELD, CT 06825",2033372600,Diagnostic Radiology Physician,Radiology,Allopathic & Osteopathic Physicians,41.163669245859,-73.233330782421
1295731909,CITY OF MERIDEN-HEALTH DEPARTMETN,"165 MILLER ST, MERIDEN, CT 06450",2036304221,Legal Medicine,Legal Medicine,Other Service Providers,41.537410033341,-72.794264704649
1346246931,PHYSICAL MEDICINE & REHABILITATION OF HARTFORD LLC,"35 JOLLEY DR, STE 101, BLOOMFIELD, CT 06002",8602433434,Physical Medicine & Rehabilitation Physician,Physical Medicine & Rehabilitation,Allopathic & Osteopathic Physicians,41.818556513676,-72.725193660851
1972500304,"ORTHOPEDIC ASSOCIATES OF HARTFORD,PC","31 SEYMOUR STREET, SUITE 100, HARTFORD, CT 06106",8605493210,Orthopedic Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",41.754320736644,-72.680802974231
1043217482,"YALE NEW HAVEN HEALTH AT HOME, INC.","1 LONG WHARF DRIVE, SUITE 501, NEW HAVEN, CT 06511",2037775521,Home Health Aide,Home Health Aide,Nursing Service Related Providers,41.288311568457,-72.927382450851
1750388260,"GREATER HARTFORD NEPHROLOGY, LLC","701 COTTAGE GROVE RD, SUITE B-220, BLOOMFIELD, CT 06002",8607699866,Nephrology Physician,Internal Medicine,Allopathic & Osteopathic Physicians,41.816931189914,-72.734408272642
1093712325,CAROLTON CHRONIC & CONVALESCENT HOSP INC,"400 MILL PLAIN RD, FAIRFIELD, CT 06824",2032553573,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.145869014703,-73.266350705231
1508863713,"MILFORD MEDICAL LABORATORY, INC.","2068 BRIDGEPORT AVE, MILFORD, CT 06460",2038767745,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,41.21734062344,-73.06572499241
1629075734,THE CHARLOTTE HUNGERFORD HOSPITAL,"540 LITCHFIELD ST, TORRINGTON, CT 06790",8604966729,Behavior Analyst,Behavior Analyst,Behavioral Health & Social Service Providers,41.790846800017,-73.132698613577
1255338232,"JOHNSON HEALTH CARE, INC. DBA JOHNSON SURGERY CENTER","148 HAZARD AVE, ENFIELD, CT 06082",8607637650,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.9879021274,-72.559821327932
1356348148,FARMINGTON SURGERY CENTER LLC,"1 CIRCLE DR, SUITE 200, FARMINGTON, CT 06032",8606796000,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.7377632,-72.8986113
1255338091,TOWN OF WINDHAM,"13 BANK ST, WILLIMANTIC, CT 06226",8604653060,Land Ambulance,Ambulance,Transportation Services,41.712442036083,-72.21427335312
1174520977,"BRISTOL HEALTH CARE, INC.","400 N MAIN ST, BRISTOL, CT 06010",8605843410,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.679228815007,-72.947122620359
1851398564,"HEALTH DIRECT, INC.","1690 NEW BRITAIN AVE, SUITE 105, FARMINGTON, CT 06032",8774967461,Customized Equipment (DME),Durable Medical Equipment & Medical Supplies,Suppliers,41.70644064728,-72.860226555444
1568460228,"ADULT & PEDIATRIC UROLOGY OF NORTHWEST CONNECTICUT, P.C.","538 LITCHFIELD ST, SUITE 102, TORRINGTON, CT 06790",8604968990,Urology Physician,Urology,Allopathic & Osteopathic Physicians,41.79184189956,-73.130700324038
1992702757,TRINITY HOME HEALTH SERVICES,"659 TOWER AVE FL 2, HARTFORD, CT 06112",8607637600,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,41.800741872154,-72.692956305423
1306844865,"VISITING NURSE AND HOSPICE CARE OF SOUTHWESTERN CT, INC","1266 E MAIN ST, STAMFORD, CT 06902",2032763000,Home Health Aide,Home Health Aide,Nursing Service Related Providers,41.060173566505,-73.50920210254
1831197474,"NEW ENGLAND DERMATOLOGY ASSOCIATES, INC.","357 HARTFORD TPKE, VERNON, CT 06066",8608719441,Dermatology Physician,Dermatology,Allopathic & Osteopathic Physicians,41.827875721041,-72.486782728108
1184622755,"WEST HARTFORD PEDIATRICS, LLC","785 FARMINGTON AVE, WEST HARTFORD, CT 06119",8605234100,Pediatrics Physician,Pediatrics,Allopathic & Osteopathic Physicians,41.76483326059,-72.726980139087
1417955923,"WEST HAVEN MEDICAL GROUP, LLC","687 CAMPBELL AVE, WEST HAVEN, CT 06516",2039326481,Adult Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,41.276686955774,-72.95320228277
