NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1891799763,THE ST THOMAS EAST END MEDICAL CENTER CORPORATION,"4605 TUTU PARK MALL, SUITE 207, ST THOMAS, VI 00802",3407753700,Federal Public Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,18.3382667,-64.8903883
1790789329,"REHABILITATION CENTER AT BEESTON HILL, INC.","23 ESTATE BEESTON HILL, CHRISTIANSTED, VI 00820",3407788888,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,17.7392368,-64.72334959999999
1518964477,"HEALTHQUEST, LLC.","5134 SUNDIAL PARK, GALLOWS BAY, CHRISTIANSTED, VI 00820",3407733227,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,17.7477477,-64.7003138
1972503647,GOVERNOR JUAN F. LUIS HOSPITAL & MEDICAL CENTER,"#4007 ESTATE DIAMOND RUBY, CHRISTIANSTED, ST. CROIX, VI 00821",3407786311,General Acute Care Hospital,General Acute Care Hospital,Hospitals,17.7378211,-64.7556187
1629055066,"CONTINUUM CARE, INC.","4031 EST LA GRANDE PRINCESSE, SUITE 36, FIVE CORNERS PLAZA, CHRISTIANSTED, VI 00820",3407185683,Home Health Agency,Home Health,Agencies,17.7642475,-64.7344596
1053390666,VIRGIN ISLAND ORTHOPEDICS AND SPORTS MEDICINE P C,"9149 ESTATE THOMAS, PARAGON MEDICAL BUILDING SUITE 104, ST THOMAS, VI 00802",3407142845,Rheumatology Physician,Internal Medicine,Allopathic & Osteopathic Physicians,18.3404619,-64.91298259999999
1134183791,VI PATHOLOGY LLC,"4093 DIAMOND RUBY, SUITE 7, CHRISTIANSTED, VI 00820",3407786311,Anatomic Pathology & Clinical Pathology Physician,Pathology,Allopathic & Osteopathic Physicians,17.7378211,-64.7556187
1740238534,GOVERNOR JUAN F. LUIS HOSPITAL & MEDICAL CENTER,"4007 ESTATE DIAMOND RUBY, CHRISTIANSTED, ST CROIX, VI 00820",3407786311,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,17.7378211,-64.7556187
1225081375,HORIZON PHYSICAL THERAPY,"9154 ESTATE THOMAS, M.M. ELECTRIC BUILDING LOWER LEVEL, ST THOMAS, VI 00802",3407767667,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",18.3424569,-64.9126434
1316985054,CENTRAL AMBULANCE SERVICES INC.,"9048 SUGAR EST, CHARLOTTE AMALIE, VI 00802",3407768311,Land Ambulance,Ambulance,Transportation Services,18.3406036,-64.9144799
1659319093,SILVINA SALVO MD PC,"9149 ESTATE THOMAS, PARAGON MEDICAL BD SUITE 103, ST THOMAS, VI 00802",3406430931,Anesthesiology Physician,Anesthesiology,Allopathic & Osteopathic Physicians,18.3403667,-64.91301109999999
1316986367,SAN JUAN VAMC,"MEDICAL FOUNDATION BUILDING, SUITE 101, ST THOMAS, VI 00802",8667934591,VA Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,18.3410895,-64.9130409
1750323903,VI NEUROLOGICAL MEDICAL GROUP INC.,"UPPERHAVENSITE BLD3 305, ST THOMAS, VI 00802",3407743633,Neurology Physician,Psychiatry & Neurology,Allopathic & Osteopathic Physicians,18.3380965,-64.8940946
1386687622,TRADEWINDS PHARMACY,"PARAGON MEDICAL BUILDING SUITE 101, ST THOMAS, VI 00802",3407752625,Pharmacy,Pharmacy,Suppliers,18.3404619,-64.91298259999999
1770527400,GYNECOLOGY ASSOCIATES LTD PLLC,"2810 TIDEWATER DR., NORFOLK, VI 23509",7576270241,Obstetrics & Gynecology Physician,Obstetrics & Gynecology,Allopathic & Osteopathic Physicians,36.872148813954,-76.265480510033
1922042605,"INFECTIOUS DISEASE ASSOCIATES OF HAMPTON ROADS, LTD","11747 JEFFERSON AVENUE, SUITE 4C, NEWPORT NEWS, VI 23606",7575967115,Infectious Disease Physician,Internal Medicine,Allopathic & Osteopathic Physicians,37.083789873919,-76.481063550845
1184668329,SAN JUAN VAMC,"RR 2 BOX 10553 KINGSHILL, THE VILLAGE MALL #113, ST. CROIX, VI 00850",8882631889,VA Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,17.7227672,-64.78223679999999
1487699047,VI GOVERNMENT HOSPITAL AND HEALTH FACILITIES CORP,"9048 SUGAR ESTATE, ST THOMAS, VI 00802",3407768311,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,18.3406036,-64.9144799
1598794794,SEA VIEW HEALTH CARE SERVICES INC,"7500 BOLONGO BAY, ST THOMAS, VI 00802",3407751660,Home Health Agency,Home Health,Agencies,18.313545,-64.89586369999999
1144250580,MYRAH KEATING SMITH COMMUNITY HEALTH CENTER,"3B SUSSANNABERG ESTATE, ST JOHN, VI 00831",3407768311,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,18.3304399,-64.79297269999999
