NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1821071424,86TH MEDGRP-RAMSTEIN,"UNIT 3215, APO, AE 09094",3144801110,Military/U.S. Coast Guard Outpatient Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1669456588,US ARMY,"DARMSTADT HEALTH CLINIC, CMR 431, APO, AE 09175",496151696263,Military General Acute Care Hospital,Military Hospital,Hospitals,49.8728253,8.6511929
1437134822,DARMSTADT HEALTH CLINIC,"ATTN; CREDENTIALS OFFICE, CMR 442, APO, AE 09042",3143486521,Primary Care Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1861477176,48TH MEDGRP-LAKENHEATH,"48TH MEDICAL GRP RAF LAKENHEATH, UNIT 5210, APO, AE 09464",01638528703,Military Hospital,Military Hospital,Hospitals,52.4147373,0.5203149
1134104060,USAMEDDAC WUERZBURG,"UNIT 26610, BOX 657, APO, AE 09244",011499318043701,Military Hospital,Military Hospital,Hospitals,,
1134106131,VILSECK MEDICAL TREATMENT FACILITY,"CMR 411, BOX 549, APO, AE 09112",01149966283,Psychiatric Hospital Unit,Psychiatric Unit,Hospital Units,,
1366421398,US NAVAL HOSPITAL ROTA,"PSC 819, BOX 18-312, FPO, AE 09645",956828904,Military Hospital,Military Hospital,Hospitals,,
1740269828,52D MEDGRP-SPANGDAHLEM,"UNIT 3865, APO, AE 09126",0049656169,Military Hospital,Military Hospital,Hospitals,,
1376523738,LANDSTUHL REGIONAL MEDICAL CENTER,"CMR 402, BOX 1575, APO, AE 09180",496371868725,Operational (Transportable) Military General Acute Care Hospital,Military Hospital,Hospitals,,
1487624466,65 MEDICAL GROUP,"UNIT 7745, APO, AE 09720",011351295573239,Community Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1164493128,UNITED STATES NAVY,"PSC 827 BOX 104, FPO, AE 09617",393346449929,Military Hospital,Military Hospital,Hospitals,,
1740251685,UNITED STATES NAVAL HOSPITAL,"BOX 172, US NAVAL HOSPITAL GTMO, FPO, AE 09589",011539972944,Military Hospital,Military Hospital,Hospitals,,
1427023332,US NAVY,"USNH BOX 73, FPO, AE 09589",011539972360,Military Hospital,Military Hospital,Hospitals,39.4391117,-0.4799793999999999
1497715536,USAMEDDAC WUERZBURG,"USAMEDDAC WUERZBURG, ATTN; CREDENTIALS UNIT 26610, APO, AE 09112",011499662832100,Clinical Social Worker,Social Worker,Behavioral Health & Social Service Providers,49.79130439999999,9.9533548
1912964230,UNITED STATES ARMY NURSE CORPS,"SHAPE HCF UNIT 21414 BOX 169, APO, AE 09705",3265445044,Community Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1518912823,NH GUANTANAMO BAY,"USNH COMMANDING OFFICE, PATIENT ACCOUNTS, FPO, AE 09589",011539972230,Military General Acute Care Hospital,Military Hospital,Hospitals,43.1938516,-71.5723953
1699713487,NH NAPLES,"PSC 808 BOX 19, FPO, AE 09618",390818116224,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1780623108,NH ROTA,"PSC 819 BOX 18, FPO, AE 09645",34956823515,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1316986730,NH SIGONELLA,"PSC 836, BOX 2670, FPO, AE 09636",0113909556,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1417063488,US ARMY,"USAMEDDAC WUERZBURG, BAMBERG HEALTH CLINIC, UNIT 27528, APO, AE 09139",011499513008619,Community Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,49.79130439999999,9.9533548
1902914336,US ARMY,"CMR 415 BOX 4364, APO, AE 09114",9641836186,Military Hospital,Military Hospital,Hospitals,,
1689782021,"USAMEDDAC WUERZBERG,UNIT 26610","GRAFENWOHER HEALTH CLINIC, CMR 415; BOX 5021, APO, AE 09114",011499641837426,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,49.71414670000001,11.9058744
1427158971,KAREN M. GRAY,"PSC 827 BOX 1000, FPO, AE 09617",011393357805610,Orthopedic Registered Nurse,Registered Nurse,Nursing Service Providers,,
1922198571,AHC VILSECK,"US KASERNE BLDG 51, HOHENFELS GERMANY, APO, AE 09173",3144662505,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,49.2032777,11.8490217
1376633693,USAMEDDAC BAVARIA,"CMR 464 BOX 638, APO, AE 09226",011499721966378,Health Service Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1285724500,USAMEDDAC WURZBURG UNIT 26610,"USAMEDDAC WURZBURG HEALTH CLINIC, UNIT 26610, APO, AE 09244",011499318043626,Case Management Registered Nurse,Registered Nurse,Nursing Service Providers,49.79130439999999,9.9533548
1497837835,NATALIE A MCANARNEY,"HEIDLEBERG MEDDAC, CMR, APO, AE 09042",496221172274,Military Outpatient Operational (Transportable) Component Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,49.3987524,8.6724335
1417030891,"USAMEDDAC WUERZBURG, UNIT 26610","GRAFENWOEHR HEALTH CLINIC, BUILDING 475, APO, AE 09114",09641838307,Military Hospital,Military Hospital,Hospitals,49.71414670000001,11.9058744
1629151311,EDUCATIONAL AND DEVELOPMENTAL INTERVENTION SERVICES,"235TH BSB BOX 215 CMR 463 09177, APO, AE 09177",011499811837644,Developmental Disabilities Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1417036674,425TH MEDICAL GROUP SGSL,"1375 SOKAK BLDG 10, ALSANCAK IZMIR TURKEY, APO, AE 09621",2102218274,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,38.42916,27.137213
1285703355,NAVAL HOSPITAL SIGONELLA,"BLDG 410, CATANIA SICILY, FPO, AE 09636",2105366650,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,37.5078836,15.0830032
