NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1740283860,BEULAH COMMUNITY NURSING HOME,"118 22ND ST NE, BEULAH, ND 58523",7018734322,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,47.284636666175,-101.778311142182
1689677585,UPPER MISSOURI DISTRICT HEALTH UNIT,"110 W BROADWAY, STE 101, WILLISTON, ND 58801",7017746400,Public Health or Welfare Agency,Public Health or Welfare,Agencies,48.146383673048,-103.624747467073
1588667463,DRS. HERMAN AND MACK P.C.,"1003 7TH ST NE, DEVILS LAKE, ND 58301",7016628191,General Practice Dentistry,Dentist,Dental Providers,48.114847737993,-98.851163181988
1295738193,SISTERS OF MARY OF THE PRESENTATION LONG TERM CARE,"501 19TH ST NE, JAMESTOWN, ND 58401",7012525660,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.928128449784,-98.703082030753
1922000108,HOLIDAY PROFESSIONAL PHARMACY INC.,"1140 E BISMARCK EXPY, BISMARCK, ND 58504",7012557220,Pharmacy,Pharmacy,Suppliers,46.795051044599,-100.774228704288
1629072590,"CASSELTON AMBULANCE SERVICE, INC","101 6TH AVE S, CASSELTON, ND 58012",7013474004,Land Ambulance,Ambulance,Transportation Services,46.899667533994,-97.212992377406
1487658324,PARKSIDE HOME,"501 - 3RD AVE WEST, LISBON, ND 58054",7016835239,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.443399838415,-97.690186937329
1528062312,MANDAN DRUG,"316 W MAIN ST # 398, MANDAN, ND 58554",7016635900,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,46.825955422458,-100.893632408853
1578567996,SISTERS OF MARY OF THE PRESENTATION LONG-TERM CARE,"1351 BROADWAY N, FARGO, ND 58102",7012777999,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.893079151776,-96.78758997716
1053316497,SISTERS OF MARY OF THE PRESENTATION LONG TERM CARE,"3102 S UNIVERSITY DRIVE, FARGO, ND 58103",7012937750,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.833745643284,-96.798785282681
1295730653,SISTERS OF MARY OF THE PRESENTATION LONG TERM CARE,"110 HILLCREST DR, ENDERLIN, ND 58027",7014373544,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.628617858444,-97.608008949721
1598760803,SISTERS OF MARY OF THE PRESENTATION LONG-TERM CARE,"979 CENTRAL AVE N, VALLEY CITY, ND 58072",7018458222,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,46.932811200653,-98.003476954997
1265437289,ST. JOSEPH'S HOSPITAL AND HEALTH CENTER,"30 7TH ST W, DICKINSON, ND 58601",7014564000,Home Health Agency,Home Health,Agencies,46.885888966344,-102.785011413914
1235134909,"HILL TOP HOME OF COMFORT, INC.","95 HILL TOP DR, KILLDEER, ND 58640",7017645682,Home Health Agency,Home Health,Agencies,47.367454742844,-102.761269103684
1952306656,"BENEDICTINE LIVING COMMUNITIES, INC.","1307 7TH ST N, WAHPETON, ND 58075",7016426667,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.279006849974,-96.608658664959
1861497430,SOURIS VALLEY DENTAL GROUP,"1300 37TH AVE SW, MINOT, ND 58701",7018525595,General Practice Dentistry,Dentist,Dental Providers,48.196642521458,-101.314015948292
1104821784,"DEVELOPMENT HOMES, INC.","3880 S COLUMBIA RD, GRAND FORKS, ND 58201",7013354000,Intellectual Disabilities Intermediate Care Facility,"Intermediate Care Facility, Intellectual Disabilities",Nursing & Custodial Care Facilities,47.883715,-97.06800109999999
1720084221,LIT ENTERPRISES INC,"1451 44TH AVE S, SUITE 131D, GRAND FORKS, ND 58201",7017467378,Sleep Disorder Diagnostic Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,47.878377131688,-97.047666267402
1699771196,AGIO ROBA INC.,"1451 44TH AVE S, SUITE 131D, GRAND FORKS, ND 58201",7017468479,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,47.878377131688,-97.047666267402
1164428272,"NORTH DAKOTA SURGERY CENTER, LLC","2600 47TH AVE SOUTH, GRAND FORKS, ND 58201",7017384248,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,47.874982198304,-97.064306634563
1922004092,"METRO AREA AMBULANCE SERVICE, INC","2940 N 19TH ST, BISMARCK, ND 58503",7012550812,Ambulance,Ambulance,Transportation Services,46.839179591607,-100.762648123827
1255337333,"BISMARCK AIR MEDICAL, LLC","2940 N 19TH ST, BISMARCK, ND 58503",7012550812,Air Ambulance,Ambulance,Transportation Services,46.839179591607,-100.762648123827
1982600854,NAPOLEON CARE CENTER,"555 LAKE AVE E, NAPOLEON, ND 58561",7017542381,Assisted Living Facility,Assisted Living Facility,Nursing & Custodial Care Facilities,46.500954998276,-99.762659079423
1740286616,ASHLEY MEDICAL CENTER,"612 CENTER AVE N, ASHLEY, ND 58413",7012883433,Critical Access Hospital,General Acute Care Hospital,Hospitals,46.039673913976,-99.371783332182
