NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1083617013,AMOSKEAG HEALTH,"145 HOLLIS ST, MANCHESTER, NH 03101",6036269500,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,42.995958202273,-71.465980349858
1528061710,"METRO HEALTH FOUNDATION OF NEW HAMPSHIRE, INC.","19 NH ROUTE 104, MEREDITH, NH 03253",6032798111,Assisted Living Facility,Assisted Living Facility,Nursing & Custodial Care Facilities,43.644693199593,-71.503435022415
1366445090,COUNTY OF CHESHIRE,"201 RIVER RD, WESTMORELAND, NH 03467",6033994219,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,42.972669510326,-72.466252703331
1144223702,LITTLETON HOSPITAL ASSOCIATION,"600 ST JOHNSBURY RD, LITTLETON, NH 03561",6034449395,Critical Access Hospital,General Acute Care Hospital,Hospitals,44.31515673669,-71.828981128802
1194728741,NURSES PRN INC,"22 GREELEY ST STE 5, MERRIMACK, NH 03054",6034249479,Home Health Agency,Home Health,Agencies,42.839710780205,-71.48934485988
1114920691,"NOVAMED SURGERY CENTER OF BEDFORD, LLC","105 RIVERWAY PLACE, BEDFORD COMMONS, BUILDING #1, BEDFORD, NH 03110",6036279540,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,42.962648307402,-71.477949975523
1114920568,RANNIE WEBSTER FOUNDATION,"795 WASHINGTON RD, RYE, NH 03870",6039648144,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,43.005717541255,-70.78449988706
1275536575,"NORTH COUNTRY HOME HEALTH & HOSPICE AGENCY, INC.","536 COTTAGE ST, LITTLETON, NH 03561",6034445317,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,44.291273158817,-71.768981322943
1215930680,TOWN OF NEWPORT,"15 SUNAPEE ST, NEWPORT, NH 03773",6038631877,Land Ambulance,Ambulance,Transportation Services,43.365192895394,-72.17184070329
1164425583,"GRANITE VNA, INC.","30 PILLSBURY ST, CONCORD, NH 03301",6032244093,Community/Behavioral Health Agency,Community/Behavioral Health,Agencies,43.19181501126,-71.534128372122
1437151651,HOME HEALTH & HOSPICE CARE,"7 EXECUTIVE PARK DR, MERRIMACK, NH 03054",6038822941,Home Health Agency,Home Health,Agencies,42.843251420185,-71.496958070205
1508860875,"VNA-HOSPICE OF SOUTHERN CARROLL COUNTY & VICINITY,INC.","240 S MAIN ST, WOLFEBORO, NH 03894",6035692729,Home Health Agency,Home Health,Agencies,43.581445995976,-71.202294464133
1700880739,CAROL A BRODY,"102 COURT ST, LACONIA, NH 03246",6035285020,Home Health Agency,Home Health,Agencies,43.524051407546,-71.470706869638
1174527915,"RICHARD ROY, INC.","204 W MAIN ST, LITTLETON, NH 03561",6034440500,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,44.311287639783,-71.788277581644
1679577522,"SEACOAST VISITING NURSE ASSOCIATION, INC.","29 LAFAYETTE RD, NORTH HAMPTON, NH 03862",6039262066,Home Health Agency,Home Health,Agencies,42.997755475088,-70.816635618691
1073517934,TOWN OF DERRY,"14 MANNING ST, DERRY, NH 03038",6034326751,Ambulance,Ambulance,Transportation Services,42.883485048151,-71.328809662631
1578568838,"NEW ENGLAND BRACE CO., INC.","1 HAMPTON RD, EXETER, NH 03833",6037722388,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,42.977898489578,-70.917878000923
1801891247,"NASHUA EYE ASSOCIATES, P.A.","5 COLISEUM AVE, NASHUA, NH 03063",6038829800,Ophthalmology Physician,Ophthalmology,Allopathic & Osteopathic Physicians,42.765243939501,-71.497578328686
1285639542,"NEW ENGLAND BRACE COMPANY, INC.","460 AMHERST ST, NASHUA, NH 03063",6038807250,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,42.79047487565,-71.51875023126
1528063864,"NEW ENGLAND BRACE CO., INC.","10 BRACE AVE, HOOKSETT, NH 03106",6036688360,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,43.029640620965,-71.437377125144
