NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1497787113,LBJ TROPICAL MEDICAL CENTER,"FAGAALU, AMERICAN SAMOA, PAGO PAGO, AS 96799",6846331222,General Acute Care Hospital,General Acute Care Hospital,Hospitals,-14.2901727,-170.6827558
1861549321,AMERICAN SAMOA MEDICAL CENTER,"LBJ, BOX, PAGO PAGO, AS 96799",6846331222,Chronic Disease Hospital,Chronic Disease Hospital,Hospitals,-14.2733653,-170.7030325
1306039698,AMERICAN SAMOA MEDICAL CENTER,"LBJ, BOX, PAGO PAGO, AS 96799",6846331222,Health Service Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,-14.2733653,-170.7030325
1962683474,HONOLULU VAMC,"FIATELE TEO ARMY RESERVE BUILDING, PAGO PAGO, AS 96799",7023413020,VA Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,-14.3133777,-170.7158566
1629213749,AMERICAN SAMOA MEDICAL CENTER,"LBJ, BOX, PAGO PAGO, AS 96799",6846331222,General Acute Care Hospital,General Acute Care Hospital,Hospitals,-14.2733653,-170.7030325
1407108046,"ROOTS SCOOTER RENTAL, SALES & DISTRIBUTOR","6655 NUUULI STREET, PAGO PAGO, AS 96799",6846990882,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,-14.3182599,-170.7229362
1811241193,AMERICAN SAMOA MEDICAL CENTER,"GENERAL DELIVERY, PO BOX LBJ, PAGO PAGO, AS 96799",6846331222,Rural Acute Care Hospital,General Acute Care Hospital,Hospitals,-14.2733653,-170.7030325
1578807798,"MANUA HEALTH SYSTEM, INC","102 LUMA TAI RD, TA'U VILLAGE, MANU'A ISLAND, AS 96799",6846773513,Ph.D. Medical Genetics,"Medical Genetics, Ph.D. Medical Genetics",Other Service Providers,-14.2286533,-169.5155207
1598106007,"ROOTS SCOOTER RENTAL, SALES & DISTRIBUTOR OF MEDICAL HOMECARE PRODUCTS","6655 NUUULI ST,, PAGO PAGO, AS 96799",6846990881,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,-14.3182599,-170.7229362
1992110258,"ROOTS SCOOTER RENTAL, SALES & DISTRIBUTOR","6655 COCONUT POINT RD., PAGO PAGO, AS 96799",6847708666,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,-14.3217032,-170.7050102
1508255449,HOPE HOUSE,"596 FATUOAIGA RD., PAGO PAGO, AS 96799",6846992101,Alzheimer Center (Dementia Center),Alzheimer Center (Dementia Center),Nursing & Custodial Care Facilities,-14.3312122,-170.7317825
1104216977,AMERICAN SAMOA MEDICAL CENTER,"999 TURNER DRIVE, PAGO PAGO, AS 96799",6846331222,General Acute Care Hospital,General Acute Care Hospital,Hospitals,-14.2733653,-170.7030325
1467835124,"MANU'A MEDICAL CENTER, INC.","98-2925 TUITASI FARM ROAD, MALAELOA-AITULAGI, PAGO PAGO, AS 96799",6846889968,Community Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,-14.3387957,-170.7731602
