NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1609879634,"OPEN MRI OF BOISE, L.LC.","7979 W RIFLEMAN ST, STE 100, BOISE, ID 83704",2083756133,Magnetic Resonance Imaging (MRI) Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.6122421,-116.2818408
1770586794,ST LUKES REGIONAL MEDICAL CENTER,"190 E BANNOCK ST, BOISE, ID 83712",2083812222,Institutional Pharmacy,Pharmacy,Suppliers,43.612499975583,-116.192697355045
1700889987,COUNTY OF ADA,"370 N. BENJAMIN LANE, BOISE, ID 83704",2082872950,Land Ambulance,Ambulance,Transportation Services,43.608196941516,-116.288075344536
1821091083,WALTER KNOX MEMORIAL HOSPITAL,"1102 E LOCUST ST, EMMETT, ID 83617",2083656004,Rural Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.879119578896,-116.486930244876
1952304099,PUBLIC HEALTH DISTRICT 1,"8500 N ATLAS RD, HAYDEN, ID 83835",2084155160,Home Health Agency,Home Health,Agencies,47.748398691306,-116.829449255044
1508869470,ST LUKES WOOD RIVER MEDICAL CENTER LTD,"100 HOSPITAL DR, KETCHUM, ID 83340",2087278100,Critical Access Hospital,General Acute Care Hospital,Hospitals,43.650463511134,-114.34888429583
1144223900,BOISE MEMORIAL HOSPICE LLC,"600 E STATE ST, SUITE 300, EAGLE, ID 83616",2089384100,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,43.694803468399,-116.346037825112
1598768483,NORTH IDAHO HOME HEALTH,"2426 N MERRIT CREEK LOOP, COEUR D ALENE, ID 83814",2086677494,Home Health Agency,Home Health,Agencies,47.691736523072,-116.803993429307
1700889581,RADIOLOGY CONSULTANTS PS,"405 STYNER AVE, MOSCOW, ID 83843",2088828369,Specialist,Specialist,Other Service Providers,46.721906577538,-116.996779581522
1558364141,"HODGINS DRUG STORE, INC.","307 S MAIN ST, MOSCOW, ID 83843",2088825536,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,46.7322522887,-117.001437186381
1407859721,"HOSPICE OF EASTERN IDAHO, INC.","1810 MORAN ST., IDAHO FALLS, ID 83401",2085290342,Hospice and Palliative Medicine (Family Medicine) Physician,Family Medicine,Allopathic & Osteopathic Physicians,43.494761152938,-111.998670231242
1881697118,"PRESCRIPTION CENTER HOME CARE, LLC","2250 CORONADO ST, IDAHO FALLS, ID 83404",2085287979,Parenteral & Enteral Nutrition Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,43.472474251177,-111.989570193297
1124021456,"PRESCRIPTION CENTER, LLC","2252 CORONADO ST, IDAHO FALLS, ID 83404",2085233360,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,43.472473829989,-111.989531338969
1952305286,"FIRST CHOICE HOME CARE, INC.","12400 W OVERLAND RD, SUITE 100, BOISE, ID 83709",2083227061,Home Health Agency,Home Health,Agencies,43.590403833013,-116.336843222526
1720082712,DEARY AMBULANCE,"403 MAIN ST, DEARY, ID 83823",2088771515,Land Ambulance,Ambulance,Transportation Services,46.799803407235,-116.560858454288
1841295227,GRAND TETON SURGICAL CENTER LLC,"2290 CORONADO ST, IDAHO FALLS, ID 83404",2085243800,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.472466339629,-111.988671595005
1043215437,SHOSHONE MEDICAL CENTER,"25 JACOBS GULCH RD, KELLOGG, ID 83837",2087847017,Critical Access Hospital,General Acute Care Hospital,Hospitals,47.54662909707,-116.132111490031
1043215395,"HORIZON HOME HEALTH & HOSPICE, INC.","900 N LINDER RD, MERIDIAN, ID 83642",2088887877,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,43.612668338645,-116.413543163421
1477558328,BRYAN C POGUE MD,"6565 W EMERALD ST, BOISE, ID 83704",2083775055,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,43.611904837153,-116.263176465838
1760487771,"SINUS CENTER - IDAHO, PA","727 E RIVERPARK LN, STE 200, BOISE, ID 83706",2084339300,Legal Medicine,Legal Medicine,Other Service Providers,43.590881444561,-116.174695183129
1164427159,OMEGA MENTAL HEALTH,"5985 W. STATE ST., BOISE, ID 83703",2088530071,Family Nurse Practitioner,Nurse Practitioner,Physician Assistants & Advanced Practice Nursing Providers,43.658609232739,-116.263521899615
1295730208,"ALLERGY CLINIC - IDAHO, INC.","727 E RIVERPARK LN, STE 100, BOISE, ID 83706",2083888900,Legal Medicine,Legal Medicine,Other Service Providers,43.590881444561,-116.174695183129
1881699874,"RIVER RUN SURGERY CENTER, INC.","727 E RIVERPARK LN, STE 200, BOISE, ID 83706",2084338846,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.590881444561,-116.174695183129
1811992811,ADDISON SURGERY CENTER,"191 ADDISON AVE, STE 1, TWIN FALLS, ID 83301",2087345993,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,42.563238283865,-114.477698576522
1578568473,COUNTY OF FRANKLIN,"47 S 1ST W, PRESTON, ID 83263",2088523764,Ambulance,Ambulance,Transportation Services,42.094975474002,-111.879320295657
1518962273,ELMORE MEDICAL CENTER HOSPITAL DISTRICT,"895 NORTH 6TH EAST, MOUNTAIN HOME, ID 83647",2085878401,Critical Access Hospital,General Acute Care Hospital,Hospitals,43.139232376978,-115.692547926538
1245235878,HOSPICE OF NORTH IDAHO INC,"2290 W PRAIRIE AVE, COEUR D ALENE, ID 83815",2087727994,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,47.744545966885,-116.817582074135
1750386256,"PALOUSE SURGERY CENTER, LLC","2300 W A ST, MOSCOW, ID 83843",2088831500,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,46.735771760009,-117.033488882109
1114923471,"SURGICARE CENTER OF IDAHO, LLC","360 E MALLARD DR, STE 125, BOISE, ID 83706",2083368700,Ophthalmologic Surgery Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.596120415696,-116.179645175922
1730185372,HANDS-ON PHYSICAL THERAPY PLLC,"5255 OVERLAND RD, BOISE, ID 83705",2083389486,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",43.589794575659,-116.246762172256
1386640001,"GLENWOOD PHARMACY, INC","1105 MICHIGAN AVE, OROFINO, ID 83544",2084765727,Pharmacy,Pharmacy,Suppliers,46.483760816206,-116.241948084482
1497751234,PRESTON DRUG INC,"39 N 1ST E, PRESTON, ID 83263",2088521563,Pharmacist,Pharmacist,Pharmacy Service Providers,42.097112401357,-111.874093563466
