NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1205839164,MID-ATLANTIC FAMILY PRACTICE,"20251 JOHN J WILLIAMS HWY, LEWES, DE 19958",3026446860,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,38.708210550148,-75.156919022394
1013910926,CHRISTIANA CARE HEALTH SYSTEMS/VNA/HOME MEDICAL EQUIPMENT,"210 EXECUTIVE DR, STE 7, NEWARK, DE 19702",3024522941,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,39.615446853318,-75.749427952961
1982607677,DELAWARE HEART GROUP PA,"4735 OGLETOWN STANTON ROAD, MEDICAL ARTS PAVILION 2 SUITE 2123, NEWARK, DE 19713",3025041860,Cardiovascular Disease Physician,Internal Medicine,Allopathic & Osteopathic Physicians,39.68883869139,-75.675098041072
1962405506,"COMPASSIONATE CARE HOSPICE OF DELAWARE, LLC","111 CONTINENTAL DR STE 407, NEWARK, DE 19713",3029939090,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,39.688039218867,-75.658797961821
1437152154,"CHRISTIANA CARE HOME HEALTH AND COMMUNITY SERVICES, INC.","4000 NEXUS DR, WILMINGTON, DE 19803",3024282700,Social Worker,Social Worker,Behavioral Health & Social Service Providers,39.7871676,-75.5506681
1841293438,"CHRISTIANA CARE HOME HEALTH AND COMMUNITY SERVICES, INC.","100 S MAIN ST, SMYRNA, DE 19977",3024282700,Social Worker,Social Worker,Behavioral Health & Social Service Providers,39.299807851683,-75.604730945136
1295738896,ST. FRANCIS HOSPITAL INC.,"701 N CLAYTON ST, WILMINGTON, DE 19805",3024214100,General Acute Care Hospital,General Acute Care Hospital,Hospitals,39.749586677013,-75.566660564928
1578566907,"MILLSBORO FAMILY PRACTICE, P.A.","201 LAUREL RD, MILLSBORO, DE 19966",3029347344,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,38.584634125536,-75.299024978933
1548264427,AMERICAN LEGION AMBULANCE STATION 64 INC,"900 SMYRNA CLAYTON BLVD, SMYRNA, DE 19977",3026536465,Ambulance,Ambulance,Transportation Services,39.2947085,-75.622309
1659375061,"REHABCLINICS (SPT), INC.","3567 SILVERSIDE ROAD, WILMINGTON, DE 19810",3025291911,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",39.809177205361,-75.547725755773
1467456863,REHABCLINICS SPT INC,"550 STANTON CHRISTIANA RD, NEWARK, DE 19713",3026337815,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,39.6999242,-75.6503712
1538164918,BAYSIDE HEALTH ASSOCIATION,"1535 SAVANNAH RD, LEWES, DE 19958",3026454700,General Practice Physician,General Practice,Allopathic & Osteopathic Physicians,38.752861477605,-75.162120984118
1972508190,"ACTS RETIREMENT-LIFE COMMUNITIES, INC.","726 LOVEVILLE ROAD, HOCKESSIN, DE 19707",3022356000,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.773231067057,-75.664293004312
1548265770,"ACTS RETIREMENT-LIFE COMMUNITIES, INC.","4830 KENNETT PIKE, WILMINGTON, DE 19807",3026545101,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.79604279029,-75.6075221891
1407851645,FRANCISCAN ELDERCARE CORP,"100 SAINT CLAIRE DRIVE, HOCKESSIN, DE 19707",3022345420,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.767477341813,-75.70411685462
1518962315,"ACTS SIGNATURE COMMUNITY SERVICES, INC.","726 LOVEVILLE RD, HOCKESSIN, DE 19707",3022356066,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,39.773231067057,-75.664293004312
1043216526,"ST. FRANCIS HEALTHCARE, INC.","7TH AND N CLAYTON ST, WILMINGTON, DE 19805",3024214100,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.749508989691,-75.566630613993
1235135732,"THE MILTON AND HATTIE KUTZ HOME, INC.","704 RIVER RD, WILMINGTON, DE 19809",3027647000,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.762902816841,-75.495605682141
1811993249,"PAHNKE, PENMAN, AND WHITNEY PA","410 FOULK RD, STE 200A, WILMINGTON, DE 19803",3027642380,Surgery Physician,Surgery,Allopathic & Osteopathic Physicians,39.784030050702,-75.538082518003
1497751747,"MID-ATLANTIC ENDOSCOPY CENTER, LLC","4923 OGLETOWN STANTON RD, STE 100, NEWARK, DE 19713",3029930310,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,39.697107882396,-75.663039152609
1679579775,DELAWARE OPEN MRI RADIOLOGY ASSOCIATES LLC,"H 42 OMEGA DRIVE, NEWARK, DE 19713",3027381700,Diagnostic Radiology Physician,Radiology,Allopathic & Osteopathic Physicians,39.690748355969,-75.675673568471
1326044470,"ST FRANCIS HOSPITAL, INC","N CLAYTON ST, WILMINGTON, DE 19805",3024214100,Rehabilitation Hospital,Rehabilitation Hospital,Hospitals,39.753334,-75.5640322
1518964048,PERSPECTIVES COUNSELING CENTER,"9 E LOOCKERMAN ST, SUITE 213, DOVER, DE 19901",3026771758,Group Psychotherapy Psychologist,Psychologist,Behavioral Health & Social Service Providers,39.159096220168,-75.520230744236
1518964956,MAROSA SURGICAL INDUSTRIES INC,"1277 S GOVERNORS AVE, DOVER, DE 19904",3026740907,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,39.135484792731,-75.529276537281
1316944630,ACTS RETIREMENT-LIFE COMMUNITIES INC.,"1001 MIDDLEFORD ROAD, SEAFORD, DE 19973",3026285624,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,38.642829931467,-75.603111067982
1669479929,"WESTSIDE FAMILY HEALTHCARE, INC.","1802 W 4TH ST, WILMINGTON, DE 19805",3026555822,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,39.748304210086,-75.570797335004
1063419331,"BRANDYWINE CONVALESCENT HOME, INC.","505 GREENBANK RD, WILMINGTON, DE 19808",3029980101,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.739808164736,-75.632817361557
1437156635,"EASTER SEALS DELAWARE & MARYLANDS EASTERN SHORE, INC","61 CORPORATE CIR, NEW CASTLE, DE 19720",3023244444,Behavior Analyst,Behavior Analyst,Behavioral Health & Social Service Providers,39.684502288895,-75.615263412757
1053318261,PENINSULA UNITED METHODIST HOMES,"4830 KENNETT PIKE, WILMINGTON, DE 19807",3022356066,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,39.79604279029,-75.6075221891
