NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1740283795,EASTERN STAR MASONIC HOME,"715 W MAMIE EISENHOWER AVE, BOONE, IA 50036",5154325274,Custodial Care Facility,Custodial Care Facility,Nursing & Custodial Care Facilities,42.059407787494,-93.900512027782
1679576623,"PLEASANT HILL FAMILY PRACTICE,PC","5148 E UNIVERSITY AVE, PLEASANT HILL, IA 50327",5151266119,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,41.600642364812,-93.517792037084
1326041369,SKIFF MEDICAL CENTER,"204 N 4TH AVE EAST, NEWTON, IA 50208",6417925086,Home Health Agency,Home Health,Agencies,41.702458790871,-93.052196748488
1942203948,LUIS F GUZMAN JR,"5112 KAREN DR, PANORA, IA 50216",6417554402,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.709903933919,-94.389429123449
1780687939,AGAPE THERAPY CLINIC PC,"211 W 6TH ST, CEDAR FALLS, IA 50613",3192773166,Occupational Therapist,Occupational Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",42.533275620078,-92.447001216844
1215930441,SKIFF MEDICAL CENTER,"204 N 4TH AVE E, NEWTON, IA 50208",6417921273,General Acute Care Hospital,General Acute Care Hospital,Hospitals,41.702458790871,-93.052196748488
1568465789,JOHN T. VOYLES AND OR HEATHER K. VOYLES,"SOUTH EAST IOWA PHYSICAL THERAPY, 115 S WASHINGTON ST, OTTUMWA, IA 52501",6416828171,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",41.0193317,-92.414001
1245233121,SKIFF MEDICAL CENTER,"204 N 4TH AVE E, NEWTON, IA 50208",6417921273,Emergency Medicine Physician,Emergency Medicine,Allopathic & Osteopathic Physicians,41.702458790871,-93.052196748488
1780687657,SKIFF MEDICAL CENTER,"204 N 4TH AVE E, NEWTON, IA 50208",6417921273,Certified Registered Nurse Anesthetist,"Nurse Anesthetist, Certified Registered",Physician Assistants & Advanced Practice Nursing Providers,41.702458790871,-93.052196748488
1750384624,L&B PHARMACY INC.,"103 E 18TH ST, CEDAR FALLS, IA 50613",3192771829,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,42.522091678976,-92.445315644527
1720081524,MIDWEST RADIOLOGY AND IMAGING PC,"1200 1ST AVE E, SPENCER, IA 51301",7122627511,Medical Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,43.149913477728,-95.143781930078
1548263411,SKIFF MEDICAL CENTER,"204 N 4TH AVE E, NEWTON, IA 50208",6417921273,Medicare Defined Swing Bed Hospital Unit,Medicare Defined Swing Bed Unit,Hospital Units,41.702458790871,-93.052196748488
