NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1619970795,BIGHORN VALLEY HEALTH CENTER INCORPORATED,"419 PENNSYLVANIA ST, CHINOOK, MT 59523",4063572403,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,48.591828532436,-109.232568018215
1639172489,"NORTHWEST HORIZONS, INC.","350 CONWAY DR, KALISPELL, MT 59901",4067516500,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,48.213610905588,-114.325029402214
1023011590,WIBAUX COUNTY NURSING HOME,"712 WIBAUX ST S, WIBAUX, MT 59353",4067962429,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.980605866378,-104.188516690581
1619970076,"SAPPHIRE DENTAL GROUP, PC","FAMILY DENTAL GROUP, 2901 BROOKS ST., MISSOULA, MT 59801",4065412886,General Practice Dentistry,Dentist,Dental Providers,46.8440208,-114.0276616
1881697209,MARIAS HEALTHCARE SERVICES INC,"1950 W ROOSEVELT HWY, SHELBY, MT 59474",4064343100,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,48.516163,-111.881877
1790787935,"YELLOWSTONE PATHOLOGY INSTITUTE, INC.","2900 12TH AVE N, STE 295W, BILLINGS, MT 59101",4062386360,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,45.792930148074,-108.518243415129
1730183609,CITY OF KALISPELL,"312 1ST AVE E, KALISPELL, MT 59901",4067587760,Land Ambulance,Ambulance,Transportation Services,48.195939442612,-114.311250363431
1902800857,DISCOVERY CARE CENTRE LTD,"601 N 10TH ST, HAMILTON, MT 59840",4063632273,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.251298578147,-114.169710580587
1326042078,BARRETT HOSPITAL DEVELOPMENT CORPORATION,"600 MT HWY 91 SOUTH, DILLON, MT 59725",4066833000,Critical Access Hospital,General Acute Care Hospital,Hospitals,45.199730868325,-112.647206725274
1497759955,"YELLOWSTONE SURGERY CENTER, LLC","1144 N 28TH ST, BILLINGS, MT 59101",4062375900,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,45.792697249974,-108.51630003063
1619972106,MONTANA HEART INSTITUTE,"2900 12TH AVE N, STE 204E, BILLINGS, MT 59101",4062375001,Interventional Cardiology Physician,Internal Medicine,Allopathic & Osteopathic Physicians,45.792930148074,-108.518243415129
1669478319,BILLINGS SURGICAL GROUP,"2900 12TH AVE N, STE 305E, BILLINGS, MT 59101",4062456982,Medical Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,45.792930148074,-108.518243415129
1144226986,PHYSICAL THERAPY DOWN UNDER INC,"820 2ND ST W, HAVRE, MT 59501",4062654805,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,48.552831810588,-109.697297551644
1831196393,GALLATIN COUNTY,"1221 DURSTON RD, BOZEMAN, MT 59715",4065823300,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,45.685666335892,-111.05328367396
1760489272,PRAIRIE COUNTY HOSPITAL DISTRICT,"312 SOUTH ADAMS AVENUE, TERRY, MT 59349",4066355511,Rural Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,46.791429208836,-105.315902231016
1649277799,BIGFORK PHYSICAL THERAPY & SPORTS REHABILITATION INC,"6400 MT HWY 35, BIGFORK, MT 59911",4068376892,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,48.135393835766,-114.097717398843
1497752232,"KALISPELL REHABILITATION ASSOCIATES, INC","105 VILLAGE LOOP RD UNIT A, KALISPELL, MT 59901",4067567878,Multi-Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,48.227119114769,-114.305831608356
1093713075,"KISMET COL, LLC","350 WEST PIKE, COLUMBUS, MT 59019",4063225342,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",45.639795383795,-109.263515555358
1922007756,FLATHEAD COUNTY HOME HEALTH,"736 S MAIN ST, KALISPELL, MT 59901",4067516800,Home Health Agency,Home Health,Agencies,48.19133048519,-114.311128878284
1619975497,"KISMET HLN2, LLC.","2475 WINNE AVE, HELENA, MT 59601",4064421350,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",46.581389090099,-111.996393326904
1326047150,"KISMET RED, LLC","1 S OAKS AVE, RED LODGE, MT 59068",4064462525,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",45.186835878504,-109.248337199634
1255330791,ANESTHESIA PARTNERS OF MONTANA PC,"2900 12TH AVE N, SUITE 205W, BILLINGS, MT 59101",4062540707,Specialist,Specialist,Other Service Providers,45.792930148074,-108.518243415129
1649279183,IMMANUEL LUTHERAN CORPORATION,"185 CRESTLINE AVE, KALISPELL, MT 59901",4067529622,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,48.210854683672,-114.321675051454
1922007202,ANESTHESIA ASSOCIATES OF GREAT FALLS LLC,"401 15TH AVE S, SUITE 109, GREAT FALLS, MT 59405",4067276311,Anesthesiology Physician,Anesthesiology,Allopathic & Osteopathic Physicians,47.500750406198,-111.28157341463
1497754782,"LIBERTY COUNTY HOSPITAL AND NURSING HOME, INC","315 WEST MADISON AVENUE, CHESTER, MT 59522",4067595181,Critical Access Hospital,General Acute Care Hospital,Hospitals,48.510475151612,-110.970791056944
1467452102,SHERIDAN MEMORIAL HOSPITAL ASSOCIATION,"440 W LAUREL AVE, PLENTYWOOD, MT 59254",4067653700,Ambulance,Ambulance,Transportation Services,48.778743633488,-104.562770226072
1033119722,"KISMET BIG, LLC","1050 GRAND DR, BIGFORK, MT 59911",4068375041,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",48.067112134631,-114.080098991968
1588664270,"KISMET GPI, LLC.","171 HERITAGE WAY, KALISPELL, MT 59901",4067550800,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",48.218180953949,-114.327807161731
1730189432,"KISMET MILS, LLC","2300 WILSON ST, MILES CITY, MT 59301",4068742687,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",46.397307074817,-105.832368352729
1356341051,"GLACIER CARE CENTER, INC.","707 3RD ST SE, CUT BANK, MT 59427",4068735600,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",48.627974172969,-112.328261079795
1437159035,"EASTERSEALS-GOODWILL NORTHERN ROCKY MOUNTAIN, INC","425 1ST AVE N, GREAT FALLS, MT 59401",4064543883,Home Health Agency,Home Health,Agencies,47.50645153086,-111.3003311152
1831199314,AMERICAN LUTHERAN CHURCH VALLEY VIEW HOME,"1225 PERRY LN, GLASGOW, MT 59230",4062282461,Assisted Living Facility,Assisted Living Facility,Nursing & Custodial Care Facilities,48.208201418993,-106.635090045856
1336149517,HOSPICE OF MONTANA III LLC,"3475 MONROE AVENUE, SUITE 100, BUTTE, MT 59701",4067021742,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,45.975275001282,-112.507034120514
1366442717,MICHAEL HAMBLOCK,"3718 E LAKE DR, SUITE A, BUTTE, MT 59701",4064947050,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",45.97296219178,-112.482543244732
1184624264,CITY OF HAVRE,"520 4TH ST, HAVRE, MT 59501",4062685651,Land Ambulance,Ambulance,Transportation Services,48.550034522161,-109.675352049404
1922008077,"NORTHERN ROCKIES ORTHOPAEDICS, PLLP","2740 SOUTH AVENUE WEST, SUITE 101, MISSOULA, MT 59804",4067286101,Orthopaedic Surgery Physician,Orthopaedic Surgery,Allopathic & Osteopathic Physicians,46.848790705232,-114.046708749207
1801897780,GREAT FALLS CLINIC LLC,"3000 15TH AVE S, GREAT FALLS, MT 59405",4064542171,Optician,Technician/Technologist,Eye and Vision Services Providers,47.489614936681,-111.257249942602
1447251327,GREAT FALLS CLINIC SURGERY CENTER LLC,"1509 29TH ST S, GREAT FALLS, MT 59405",4067713500,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,47.489010270726,-111.257249943589
1124029962,"PRIME MEDICAL SUPPLY, INC.","1040 S 24TH ST W, BILLINGS, MT 59102",4062527225,Customized Equipment (DME),Durable Medical Equipment & Medical Supplies,Suppliers,45.754161962342,-108.576207547899
1427059070,NORTHERN MONTANA HOSPITAL,"30 13TH ST, HAVRE, MT 59501",4062621302,General Acute Care Hospital,General Acute Care Hospital,Hospitals,48.539293686985,-109.687219158926
1760483176,"KISMET BZN, LLC","205 N TRACY AVE, BOZEMAN, MT 59715",4065872218,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",45.681503500831,-111.037323355041
1073514428,PLENTYWOOD DRUG INC.,"119 N MAIN ST, PLENTYWOOD, MT 59254",4067651810,Long Term Care Pharmacy,Pharmacy,Suppliers,48.774612149708,-104.558935983669
1417958745,"KISMET BIL, LLC","600 S 27TH ST, BILLINGS, MT 59101",4062598000,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",45.775767546754,-108.497831498445
1598766826,CENTRAL MONTANA IMAGING LLC,"1417 9TH ST S, SUITE 102, GREAT FALLS, MT 59405",4062160040,Magnetic Resonance Imaging (MRI) Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,47.489766431656,-111.292115934787
1316949340,"ACTIVE PHYSICAL THERAPY & SPORTS INJURY CENTER, LLC","1410 S RESERVE ST, MISSOULA, MT 59801",4068299600,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",46.858569369539,-114.039495906065
1245222306,LIVINGSTON HEALTHCARE,"320 ALPENGLOW LN, LIVINGSTON, MT 59047",4062223541,Critical Access Hospital,General Acute Care Hospital,Hospitals,45.677390487637,-110.5265364612
1174515878,"ORTHO MONTANA, PSC","2900 12TH AVE N, SUITE 140W, BILLINGS, MT 59101",4062375050,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,45.792930148074,-108.518243415129
1972596880,"MONTANA PEDIATRIC CRITICAL CARE, PC","1233 N 30TH ST, BILLINGS, MT 59101",8883502911,Pediatric Critical Care Medicine Physician,Pediatrics,Allopathic & Osteopathic Physicians,45.792949915735,-108.51992272043
1093708075,"KISMET HLN, LLC","30 S RODNEY ST, HELENA, MT 59601",4064435880,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",46.584263336197,-112.036055474505
1467445049,LOGAN HEALTH - CONRAD,"805 SUNSET BOULEVARD, CONRAD, MT 59425",4062713211,Critical Access Hospital,General Acute Care Hospital,Hospitals,48.173966743625,-111.959158757926
1265425854,LOGAN HEALTH - CONRAD,"805 SUNSET BLVD, CONRAD, MT 59425",4062713211,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,48.173966743625,-111.959158757926
1720071368,DR. ROBERT J SHERER PC,"3226 10TH AVE S, GREAT FALLS, MT 59405",4062053552,Optometrist,Optometrist,Eye and Vision Services Providers,47.493878368353,-111.251428696467
1396739793,HANDS IN MOTION OT LLC,"2360 MULLAN RD, STE D, MISSOULA, MT 59808",4065414263,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,46.884039754261,-114.034797764798
1679567770,"WHITEFISH PHYSICAL THERAPY & SPORTS REHAB, INC.","2006 HOSPITAL WAY, WHITEFISH, MT 59937",4068629378,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,48.380757865053,-114.330186488606
1437143484,HOSPICE OF MISSOULA LLC,"800 KENSINGTON AVE, SUITE 209, MISSOULA, MT 59801",4065434408,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,46.853401529249,-114.009633470028
1770577579,"NEUROLOGICAL ASSOCIATES, PC","500 WEST BROADWAY STREET, SUITE 310, MISSOULA, MT 59802",4067286520,Neurological Surgery Physician,Neurological Surgery,Allopathic & Osteopathic Physicians,46.87394115193,-113.999987468112
1447244140,FIELD OF DREAMS PC,"1006 W MAIN ST, BOZEMAN, MT 59715",4065868711,Specialist,Specialist,Other Service Providers,45.679221332183,-111.05080753817
1750376299,"LANTIS ENTERPRISES, INC","1415 YELLOWSTONE RIVER RD, BILLINGS, MT 59105",4062459330,Speech-Language Pathologist,Speech-Language Pathologist,"Speech, Language and Hearing Service Providers",45.818340371292,-108.448951616735
1740275288,"KISMET LWT, LLC","402 SUMMIT AVE, LEWISTOWN, MT 59457",4065388775,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",47.050105909335,-109.429085887234
1447245857,"TOWNSEND HEALTH SYSTEMS, INC.","110 N OAK ST, TOWNSEND, MT 59644",4062663186,Community/Behavioral Health Agency,Community/Behavioral Health,Agencies,46.321476229888,-111.516402277804
1215922513,SIDNEY HEALTH CENTER,"104 14TH AVE NW, SIDNEY, MT 59270",4064882300,Adult Day Care Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,47.716842272709,-104.174102690327
1124013354,"COMMUNITY SURGICAL ASSOCIATES, P.C.","2831 FORT MISSOULA RD, SUITE 104, MISSOULA, MT 59804",4067280285,Surgery Physician,Surgery,Allopathic & Osteopathic Physicians,46.8467034,-114.0457514
1124013719,WHITEHALL MEDICAL CLINIC,"108 W 1ST ST, WHITEHALL, MT 59759",4062873003,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,45.87082045509,-112.099359466037
1790771699,SIDNEY HEALTH CENTER,"216 14TH AVE SW, SIDNEY, MT 59270",4064882163,Long Term Care Pharmacy,Pharmacy,Suppliers,47.715470417957,-104.174114906165
1891781787,SOUTH CENTRAL MONTANA REGIONAL MENTAL HEALTH CENTER,"1245 N 29TH ST, BILLINGS, MT 59101",4062525658,Mental Health Clinic/Center (Including Community Mental Health Center),Clinic/Center,Ambulatory Health Care Facilities,45.794383724418,-108.519570091341
1881680577,"NORTHERN CARE, INC.","210 WINDWARD WAY, KALISPELL, MT 59901",4067556322,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,48.217140112811,-114.326061405979
1518954106,INTERMOUNTAIN DEACONESS HOME,"500 S. LAMBORN ST., HELENA, MT 59601",4064427920,Child & Adolescent Psychiatry Physician,Psychiatry & Neurology,Allopathic & Osteopathic Physicians,46.580510664411,-112.009052942982
1629065883,GREAT PLAINS HEALTH COMPANY,"506 N 32ND ST, BILLINGS, MT 59101",4062378906,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,45.783151803974,-108.51414701903
1982691143,APPLIED HEALTH SERVICES INCORPORATED,"55 3RD AVENUE EAST N, KALISPELL, MT 59901",4067526111,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,48.200560005133,-114.309676894308
1407843659,"KCI USA, INC.","2747 ENTERPRISE AVE STE 4, BILLINGS, MT 59102",4066560378,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,45.750618836613,-108.585290018735
1780671834,TOOLE COUNTY,"640 PARK AVE, SHELBY, MT 59474",4064343200,Home Health Agency,Home Health,Agencies,48.509043332568,-111.850415918594
1497742415,LOGAN HEALTH - SHELBY,"640 PARK AVE, SHELBY, MT 59474",4064343200,Ambulance,Ambulance,Transportation Services,48.509043332568,-111.850415918594
1710974720,TOOLE COUNTY,"640 PARK AVE, SHELBY, MT 59474",4064343200,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,48.509043332568,-111.850415918594
1073500872,COONEY HEALTH CARE INC,"2555 E BROADWAY ST, HELENA, MT 59601",4064471651,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.584135944179,-111.994944555258
1659368512,TOOLE COUNTY,"825 OILFIELD AVE, SHELBY, MT 59474",4064343200,Land Ambulance,Ambulance,Transportation Services,48.512953180259,-111.855714643679
1871581207,ROSAUERS SUPERMARKETS INC,"703 W 9TH ST, LIBBY, MT 59923",4062937702,Pharmacy,Pharmacy,Suppliers,48.38934925513,-115.558351464353
1689662017,ROSAUERS SUPERMARKETS INC.,"2150 US HIGHWAY 93 S., KALISPELL, MT 59901",4067555099,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,48.178599821502,-114.301601420409
1497743959,SIDNEY HEALTH CENTER,"214 14TH AVE SW, SIDNEY, MT 59270",4064886563,Pharmacist,Pharmacist,Pharmacy Service Providers,47.715494896232,-104.174114150658
1003804436,ROSAUERS SUPERMARKETS INC,"2350 S RESERVE ST, MISSOULA, MT 59801",4067215330,Pharmacy,Pharmacy,Suppliers,46.849223722942,-114.039529673286
1871581058,PEAK PERFORMANCE PHYSICAL THERAPY PC,"1940 HARVE AVE, STE2, MISSOULA, MT 59801",4065420808,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,46.842592348709,-114.027883238598
1417945627,KALISPELL REGIONAL MEDICAL CENTER INC,"310 SUNNYVIEW LN, KALISPELL, MT 59901",4067525111,Ambulance,Ambulance,Transportation Services,48.215514722945,-114.324780414868
1083602205,"BENEFIS COMMUNITY HOSPITALS, INC.","915 4TH ST NW, CHOTEAU, MT 59422",4064665763,Emergency Medicine Physician,Emergency Medicine,Allopathic & Osteopathic Physicians,47.81346859366,-112.192639019212
1487643318,"ST JOHNS LUTHERAN MINISTRIES, INC","3940 RIMROCK RD, BILLINGS, MT 59102",4066555827,Pharmacy,Pharmacy,Suppliers,45.798533042792,-108.615907225453
1649269358,PROFESSIONAL THERAPY ASSOCIATES,"1234 WHITEFISH STAGE, KALISPELL, MT 59901",4067567878,Physical Therapist,Physical Therapist,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",48.218822078063,-114.307762918451
1013906429,BIG BULL COUNTRY LLC,"308 BROADWAY ST., TOWNSEND, MT 59644",4062664379,Community/Retail Pharmacy,Pharmacy,Suppliers,46.320042333204,-111.518519345787
1669461703,LOGAN HEALTH - CONRAD,"809 SUNSET BLVD, CONRAD, MT 59425",4062713231,Rural Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,48.173967897583,-111.959188760731
1588653679,ST. JOHN'S LUTHERAN MINISTRIES INC,"3940 RIMROCK RD, BILLINGS, MT 59102",4066555600,In Home Supportive Care Agency,In Home Supportive Care,Agencies,45.798533042792,-108.615907225453
1093704108,MEDICAL EYE SPECIALISTS PC,"3820 N 27TH AVE, SUITE 100, BOZEMAN, MT 59718",4065871245,Ophthalmology Physician,Ophthalmology,Allopathic & Osteopathic Physicians,45.717400388533,-111.073796439991
1699765552,LOGAN HEALTH - CONRAD,"805 SUNSET BLVD, CONRAD, MT 59425",4062713211,Home Health Agency,Home Health,Agencies,48.173966743625,-111.959158757926
