NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1235132242,HALE MAKUA HEALTH SERVICES,"1520 E MAIN ST, WAILUKU, HI 96793",8082443661,Home Health Agency,Home Health,Agencies,20.893598094406,-156.494501629387
1215930987,"DIAGNOSTIC LABORATORY SERVICES, INC","99-859 IWAIWA ST, AIEA, HI 96701",8085895107,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,21.372541005311,-157.91497253722
1336142884,THE SURGICAL SUITES LLC,"1100 WARD AVE, STE 1001, HONOLULU, HI 96814",8085310127,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,21.302989273114,-157.849833747851
1205838539,MAUI YOUTH AND FAMILY SERVICES INC,"200 IKE DR, MAKAWAO, HI 96768",8085798414,Voluntary or Charitable Agency,Voluntary or Charitable,Agencies,20.885951146506,-156.340294949645
1043214380,OCF PARTNERS,"1808 S BERETANIA ST, HONOLULU, HI 96826",8089731900,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,21.297553531896,-157.831921492581
1215939335,KUAKINI MEDICAL CENTER,"347 N KUAKINI ST, HONOLULU, HI 96817",8085362236,General Acute Care Hospital,General Acute Care Hospital,Hospitals,21.32212654935,-157.856213103243
1154325405,"KUAKINI GERIATRIC CARE, INC.","347 N KUAKINI ST, HONOLULU, HI 96817",8085362236,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,21.32212654935,-157.856213103243
1659375640,"CR NEWTON CO., LTD","1575 S BERETANIA ST, HONOLULU, HI 96826",8089498389,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,21.298810624788,-157.835742891008
1730183252,EMERGENCY MEDICAL SERVICES SYSTEM HAWAII DEPT OF HEALTH,"3675 KILAUEA AVE, TROTTER BUILDING BASEMENT, HONOLULU, HI 96816",8087339215,Air Ambulance,Ambulance,Transportation Services,21.273562851231,-157.801117691929
1851395289,"WALLACE-JONES, INC","810 HAIKU RD, STE 127, HAIKU, HI 96708",8085757522,Pharmacy,Pharmacy,Suppliers,20.914998474308,-156.322991879543
