NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1043213093,HOME I V SPECIALISTS INC,"200 S MAIN ST, JONESBORO, AR 72401",8709721677,Parenteral & Enteral Nutrition Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,35.842020717964,-90.704809463192
1073516019,DREW COUNTY MEMORIAL HOSPITAL,"778 SCOGIN DR, MONTICELLO, AR 71655",8703672411,General Acute Care Hospital,General Acute Care Hospital,Hospitals,33.610209727874,-91.81506102579
1609879808,"HEALTH DEPOT PHARMACIES, LLC","7700 HWY 271 S, FT. SMITH, AR 72908",4796499500,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,35.312095403538,-94.422719526392
1871596916,FORT SMITH REGIONAL DIALYSIS CENTER LLC,"2201 BROOKEN HILL DR, FORT SMITH, AR 72908",4797556700,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,35.298167977593,-94.413786090571
1720081607,MICHAEL J. SCHMIDT MD,"5 MEDICAL PARK PLACE, STE 308, BENTON, AR 72015",5013157808,Specialist,Specialist,Other Service Providers,34.574263761863,-92.584451376521
1679576557,"TRI-COUNTY MEDICAL SUPPLY & RESPIRATORY SERVICES, INC.","260 HIGHWAY 62 E, SALEM, AR 72576",8708955022,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,36.367974831916,-91.825092634375
1265435002,ST. BERNARDS BEHAVIORAL HEALTH,"2712 E JOHNSON AVE, JONESBORO, AR 72401",8709322800,Psychiatric Hospital,Psychiatric Hospital,Hospitals,35.850912241641,-90.670011579048
1063415800,"UNITED METHODIST BEHAVIORAL HEALTH SYSTEM, INC","1601 MURPHY DRIVE, MAUMELLE, AR 72113",5018033388,Psychiatric Hospital,Psychiatric Hospital,Hospitals,34.877376375672,-92.394097061149
1063415891,"HARRISON SURGERY CENTER, LLC","105 SAWGRASS PT, HARRISON, AR 72601",8707419700,Ophthalmologic Surgery Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,36.260943603514,-93.126871796911
1447253273,KILGORE VISION CENTER,"2943 HIGHWAY 62 W, MOUNTAIN HOME, AR 72653",8704244900,Specialist,Specialist,Other Service Providers,36.3202859,-92.3936744
1538162599,"TRIPP & TRIPP, INC.","3500 W MAIN ST, RUSSELLVILLE, AR 72801",4799675790,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,35.289809027026,-93.166100895627
1992708804,COUNTY OF LOGAN,"310 E MAIN ST, PARIS, AR 72855",4799632723,Land Ambulance,Ambulance,Transportation Services,35.292686108737,-93.727216412623
1568465375,"ARKANSAS FOOT CARE CLINIC, INC","2400 W MAIN ST, RUSSELLVILLE, AR 72801",4798903668,Foot & Ankle Surgery Podiatrist,Podiatrist,Podiatric Medicine & Surgery Service Providers,35.284725169399,-93.155884813081
1154324796,BATESVILLE FAMILY PRACTICE CLINIC PA,"1215 SIDNEY ST, STE 300, BATESVILLE, AR 72501",8707931126,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,35.767429480372,-91.636922668794
1124021811,LEO N LEVI MEMORIAL HOSPITAL ASSOCIATION,"300 PROSPECT AVE, HOT SPRINGS, AR 71901",5016241281,General Acute Care Hospital,General Acute Care Hospital,Hospitals,34.509934451826,-93.056834329689
1477556926,DEBBIES FAMILY PHARMACY INC,"5403 W PINNACLE POINTE DR, ROGERS, AR 72758",4792716300,Pharmacy,Pharmacy,Suppliers,36.312085669358,-94.186551952734
1447253810,"CLARKSVILLE MEDICAL GROUP, P.A.","601 W MCKENNON ST, CLARKSVILLE, AR 72830",4797548384,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,35.467137181568,-93.468169567771
1790787042,SOUTHERN HOME HEALTHCARE INC,"2925 S CARAWAY RD STE B, JONESBORO, AR 72401",8709320990,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,35.810628477189,-90.678182380452
