NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1881697811,LINDSBORG COMMUNITY HOSPITAL ASSOCIATION,"605 W LINCOLN ST, LINDSBORG, KS 67456",7852273308,Critical Access Hospital,General Acute Care Hospital,Hospitals,38.573350990551,-97.683686514736
1770586976,COUNTY OF FRANKLIN,"1418 S MAIN ST, STE 1, OTTAWA, KS 66067",7852293530,Primary Care Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,38.594844278183,-95.268838030686
1114920303,"MANHATTAN FOOT SPECIALISTS, PA","915 WESTPORT PL, MANHATTAN, KS 66502",7855394205,Foot Surgery Podiatrist,Podiatrist,Podiatric Medicine & Surgery Service Providers,39.188321064819,-96.606815147275
1629071816,CITY OF WELLINGTON,"200 NORTH C STREET, SUITE 200, WELLINGTON, KS 67152",6203267443,Basic Emergency Medical Technician,"Emergency Medical Technician, Basic",Emergency Medical Service Providers,37.266897870549,-97.396788314996
1003819251,COUNTY OF NORTON,"801 N NORTON AVE, NORTON, KS 67654",7858775745,Public Health or Welfare Agency,Public Health or Welfare,Agencies,39.836938284814,-99.887337420629
1558364760,CLOUD COUNTY HEALTH CENTER INC,"155 WEST COLLEGE DRIVE, CONCORDIA, KS 66901",7852431234,Critical Access Hospital,General Acute Care Hospital,Hospitals,39.552500852942,-97.659316862323
1558364752,COUNTY OF ELLSWORTH,"1603 N AYLWARD AVE, ELLSWORTH, KS 67439",7854724488,State or Local Public Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,38.742919895592,-98.218794265801
1417950650,"KANSAS SPINE & SPECIALTY HOSPITAL, L.L.C.","3333 N WEBB RD, WICHITA, KS 67226",3164625000,General Acute Care Hospital,General Acute Care Hospital,Hospitals,37.743633726413,-97.226398452783
1922001015,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,"320 N 13TH ST, WAKEENEY, KS 67672",7857432182,Critical Access Hospital,General Acute Care Hospital,Hospitals,39.026971079747,-99.871561066063
1477556645,COMPLETE MEDICAL HOMECARE,"14309 W 95TH ST, LENEXA, KS 66215",8005051625,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,38.956444755162,-94.75251733412
1619970878,"SANDPIPER BAY HEALTH AND RETIERMENT CENTER, INC","5808 W 8TH, WICHITA, KS 67212",3169453606,Nursing Care Agency,Nursing Care,Agencies,37.699978323162,-97.410274229354
1881697043,HAYS MEDICAL CENTER INC,"2220 CANTERBURY DR, HAYS, KS 67601",7856235000,General Acute Care Hospital,General Acute Care Hospital,Hospitals,38.878468073052,-99.299160093647
1801899000,WESTVIEW MANOR HEALTH CARE ASSOCIATES INC,"2626 WESLEYAN DR, BELLEVILLE, KS 66935",7855275636,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.815319907354,-97.633607555458
1043213184,C AND H HEALTHCARE LLC,"10315 JOHNSON DR, SHAWNEE, KS 66203",9136318200,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,39.022240721502,-94.705542797576
1063415172,CITY OF EMPORIA,"120 E 5TH AVE, EMPORIA, KS 66801",6203434232,Paramedic,"Emergency Medical Technician, Paramedic",Emergency Medical Service Providers,38.403842521918,-96.178541874595
1487657581,"WOODWORTH ENTERPRISES, INC.","1400 S 15TH ST, PARSONS, KS 67357",6204211430,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,37.326176063874,-95.257549492858
1760485841,GESSLER DRUG CO INC,"8903 W CENTRAL AVE, WICHITA, KS 67212",3166831318,Pharmacy,Pharmacy,Suppliers,37.694007847031,-97.445798088014
1356344436,GESSLER DRUG CO INC,"4817 E DOUGLAS AVE STE 300, WICHITA, KS 67218",3166831318,Pharmacy,Pharmacy,Suppliers,37.686456970241,-97.280269897023
1235132119,"VIA CHRISTI HOME HEALTH WICHITA, LLC","301 N MAIN ST STE 950, WICHITA, KS 67202",3162688588,Home Health Agency,Home Health,Agencies,37.689836596444,-97.338273016832
1891798716,"SALEM HOSPITAL, INC.","701 S MAIN ST, HILLSBORO, KS 67063",6209473114,Critical Access Hospital,General Acute Care Hospital,Hospitals,38.346129219142,-97.204733590921
1578566329,"COF TRAINING SERVICES, INC","1516 N DAVIS AVE, OTTAWA, KS 66067",7852425035,Developmentally Disabled Services Day Training Agency,"Day Training, Developmentally Disabled Services",Agencies,38.639197686554,-95.249223392955
1427051242,BEHAVIORAL HEALTH CENTER,"714 S HILLSIDE ST, WICHITA, KS 67211",3166607411,Public Health or Welfare Agency,Public Health or Welfare,Agencies,37.675196670165,-97.298791675403
1669475539,AXTELL ORTHOPEDICS PA,"800 MEDICAL CENTER DR, SUITE 240, NEWTON, KS 67114",3162839977,Specialist,Specialist,Other Service Providers,38.02317501139,-97.331705808802
1396748265,STATE OF KANSAS,"500 STATE HOSPITAL DRIVE, OSAWATOMIE, KS 66064",9137557000,Psychiatric Hospital,Psychiatric Hospital,Hospitals,38.5134663,-94.9404486
